Country,Oil Production
Russia,10551497
Saudi Arabia,10460710
United States of America,8875817
Iraq,4451516
Iran,3990956
China,3980650
Canada,3662694
United Arab Emirates,3106077
Kuwait,2923825
Brazil,2515459
Venezuela,2276967
Mexico,2186877
Nigeria,1999885
Angola,1769615
Norway,1647975
Kazakhstan,1595199
Qatar,1522902
Algeria,1348361
Oman,1006841
Libya,1003000
United Kingdom,939760
Colombia,897784
Indonesia,833667
Azerbaijan,833538
India,734180
Malaysia,661240
Ecuador,548421
Argentina,510560
Romania,504000
Egypt,494325
Vietnam,301850
Australia,289749
Thailand,257525
Sudan,255000
South Sudan,255000
Turkmenistan,230779
Equatorial Guinea,227000
Gabon,210820
Denmark,140637
Chad,110156
Brunei,109117
Ghana,100549
Cameroon,93205
Pakistan,84746
Italy,70675
East Timor,60661
Trinidad and Tobago,60090
Bolivia,58077
Papua New Guinea,56667
Uzbekistan,52913
Cuba,50000
Turkey,49497
Tunisia,48757
Germany,46839
Peru,40266
New Zealand,35574
Ukraine,31989
Ivory Coast,30000
Syria,30000
Belarus,25000
Mongolia,23426
Albania,22915
Yemen,22000
Poland,20104
Democratic Republic of the Congo,20000
Philippines,20000
Republic of Serbia,20000
Netherlands,18087
Suriname,17000
France,16418
Austria,15161
Myanmar,15000
Hungary,13833
Croatia,13582
Niger,13000
Guatemala,8977
Mauritania,5000
Chile,4423
Bangladesh,4189
Japan,3918
Greece,3172
Spain,2667
Czech Republic,2333
Belize,2000
Lithuania,2000
South Africa,2000
Bulgaria,1000
Kyrgyzstan,1000
Georgia,400
Israel,390
Slovakia,200
Taiwan,196
Tajikistan,180
Morocco,160
Jordan,22
Slovenia,5
Afghanistan,0
Armenia,0
Antarctica,0
French Southern and Antarctic Lands,0
Burundi,0
Belgium,0
Benin,0
Burkina Faso,0
The Bahamas,0
Bosnia and Herzegovina,0
Bermuda,0
Bhutan,0
Botswana,0
Central African Republic,0
Switzerland,0
Republic of the Congo,0
Costa Rica,0
Northern Cyprus,0
Cyprus,0
Djibouti,0
Dominican Republic,0
Eritrea,0
Estonia,0
Ethiopia,0
Finland,0
Fiji,0
Falkland Islands,0
Guinea,0
Gambia,0
Guinea Bissau,0
Greenland,0
French Guiana,0
Guyana,0
Honduras,0
Haiti,0
Ireland,0
Iceland,0
Jamaica,0
Kenya,0
Cambodia,0
South Korea,0
Kosovo,0
Laos,0
Lebanon,0
Liberia,0
Sri Lanka,0
Lesotho,0
Luxembourg,0
Latvia,0
Moldova,0
Madagascar,0
Macedonia,0
Mali,0
Malta,0
Montenegro,0
Mozambique,0
Malawi,0
Namibia,0
New Caledonia,0
Nicaragua,0
Nepal,0
Panama,0
Puerto Rico,0
North Korea,0
Portugal,0
Paraguay,0
Rwanda,0
Western Sahara,0
Senegal,0
Solomon Islands,0
Sierra Leone,0
El Salvador,0
Somaliland,0
Somalia,0
Sweden,0
Swaziland,0
Togo,0
United Republic of Tanzania,0
Uganda,0
Uruguay,0
Vanuatu,0
West Bank,0
Zambia,0
Zimbabwe,0