date,wcs,gas,wti,usd,eur,cny,mxn,jpy,gbp,krw,edmonton,gold,cad
9/10/2013,89.552521,3.89106187,115.326121,1.0739,1.4248,0.1755,0.082,0.010697,1.6896,0.000989,113.822661,1464.670732,1.0376
9/12/2013,88.82271,3.85426924,117.13596,1.0786,1.43433,0.1763,0.0826,0.010835,1.7047,0.000995,113.36086,1425.617978,1.0447
9/13/2013,88.656132,3.89714876,117.050757,1.0817,1.43801,0.1768,0.083,0.010885,1.7173,0.000996,113.264807,1434.518089,1.0448
9/16/2013,83.261829,3.90704979,114.381729,1.0731,1.43092,0.1753,0.083,0.010834,1.7059,0.000992,109.016229,1408.754949,1.0394
9/17/2013,80.876096,4.02894848,112.672896,1.0688,1.42791,0.1747,0.0827,0.010783,1.6999,0.000987,105.992896,1400.76928,1.0381
9/18/2013,82.267328,3.90034528,113.516728,1.0504,1.42039,0.1717,0.083,0.010725,1.696,0.000975,107.214328,1432.504008,1.0277
9/19/2013,84.121644,3.94923516,112.730844,1.0596,1.43351,0.1731,0.0834,0.010652,1.6986,0.000987,107.432844,1447.6785,1.0321
9/20/2013,81.17575,3.9187926,111.431682,1.0646,1.43962,0.1739,0.0828,0.010714,1.7038,0.000988,107.25845,1411.49991,1.0332
9/23/2013,78.695466,3.86150657,109.942507,1.0603,1.43069,0.1733,0.0828,0.01073,1.701,0.000987,105.733116,1402.480016,1.0312
9/24/2013,77.176704,3.82284496,109.855416,1.0648,1.43474,0.174,0.0822,0.010783,1.7042,0.000991,103.796704,1409.007248,1.0338
9/25/2013,76.913375,3.754611,109.6963,1.0675,1.44399,0.1745,0.0821,0.010845,1.7168,0.000992,103.334,1424.4293,1.0351
9/26/2013,76.920837,3.71981607,110.025737,1.0679,1.4403,0.1745,0.0817,0.01079,1.7129,0.000992,103.618337,1413.985032,1.036
9/27/2013,76.333096,3.75826728,110.410371,1.0733,1.45137,0.1755,0.0817,0.010924,1.7322,0.000998,103.970571,1434.873304,1.0417
9/30/2013,75.592519,3.74914423,109.830789,1.0733,1.45168,0.1754,0.082,0.010926,1.737,0.000997,103.390989,1426.447899,1.0414
10/10/2013,76.71558,3.9559678,108.98458,1.058,1.4304,0.173,0.0808,0.010779,1.6894,0.000987,99.19808,1362.2808,1.0174
10/14/2013,77.11064,4.0092052,107.94014,1.054,1.4292,0.1724,0.0811,0.010691,1.6844,0.000983,98.19064,1341.19392,1.0179
10/15/2013,74.231358,4.02052404,106.250258,1.0498,1.41965,0.172,0.0808,0.010695,1.6794,0.000984,95.122378,1346.21103,1.0109
10/16/2013,75.066599,4.02829841,107.107859,1.0471,1.41703,0.1716,0.0815,0.010602,1.6699,0.000981,96.113309,1342.916221,1.0137
10/17/2013,73.964006,3.89475962,104.475326,1.0378,1.41928,0.1702,0.0812,0.010599,1.6776,0.000979,94.616226,1370.228096,1.0084
10/18/2013,74.717923,3.8407761,104.166973,1.0333,1.41433,0.1695,0.0804,0.010572,1.6706,0.000974,93.833973,1360.081125,1.0046
10/21/2013,73.22448,3.9183592,102.79192,1.036,1.41727,0.17,0.0798,0.010551,1.6728,0.000975,93.94448,1363.39672,1.0054
10/22/2013,70.35583,3.8124001,100.74378,1.0301,1.41961,0.1691,0.0802,0.010497,1.6724,0.000974,92.50298,1380.447311,1.0014
10/23/2013,67.64929,3.8003503,100.11804,1.039,1.43157,0.1707,0.08,0.010668,1.6796,0.000982,90.76704,1385.47533,1.0006
10/24/2013,66.244982,3.79063889,100.510703,1.0393,1.43421,0.1709,0.0801,0.010683,1.6836,0.000978,91.188182,1399.677275,0.9972
10/25/2013,67.76883,3.83543406,101.78367,1.0434,1.44016,0.1715,0.081,0.010712,1.6867,0.000982,90.46278,1409.236908,0.9985
10/28/2013,68.803942,3.78254529,103.090996,1.0447,1.4401,0.1716,0.0811,0.010696,1.6864,0.000984,91.526167,1413.092561,1
10/29/2013,67.914462,3.7564989,103.59118,1.0549,1.44999,0.1732,0.0817,0.010743,1.6928,0.000992,91.122262,1418.893245,1.0077
10/30/2013,63.976515,3.7487475,102.043965,1.0545,1.44835,0.173,0.0815,0.010703,1.6912,0.000995,89.389965,1417.827975,1.0061
10/31/2013,62.2656,3.7712565,101.92185,1.0575,1.43644,0.1735,0.0812,0.010753,1.6962,0.000997,88.17435,1399.13595,1.0137
11/11/2013,59.98559,3.8683974,101.65709,1.0685,1.43247,0.1754,0.0809,0.010776,1.7083,0.000996,85.896715,1370.682485,1.0199
11/12/2013,60.248604,3.97109687,100.027304,1.0751,1.44438,0.1765,0.0816,0.010788,1.7099,0.001002,85.513454,1363.269804,1.0243
11/13/2013,62.373192,3.931712,100.301392,1.0684,1.44103,0.1754,0.082,0.010766,1.7157,0.000998,86.038252,1369.4217,1.0219
11/14/2013,63.609684,3.778368,100.641984,1.0734,1.44483,0.1762,0.0828,0.010733,1.7244,0.001004,86.848794,1381.659012,1.0257
11/15/2013,62.805816,3.799944,100.164816,1.0674,1.44052,0.1752,0.0825,0.010655,1.7204,0.001004,86.288616,1377.138132,1.0224
11/18/2013,59.750392,3.95751704,99.207192,1.0664,1.44023,0.175,0.0827,0.010663,1.718,0.001008,84.810792,1360.129216,1.0225
11/19/2013,59.726034,3.848163,98.949734,1.0601,1.43516,0.174,0.0818,0.010588,1.7088,0.001005,84.638384,1352.390772,1.0126
11/20/2013,67.331205,3.878106,99.984429,1.0713,1.43965,0.1758,0.0818,0.010709,1.7253,0.001014,88.757205,1333.050729,1.0253
11/21/2013,69.78852,3.98544,102.98247,1.083,1.46003,0.1777,0.0831,0.010705,1.7543,0.001019,91.44852,1346.07153,1.0295
11/22/2013,70.61076,4.1070546,102.89961,1.089,1.47698,0.1788,0.084,0.010763,1.7681,0.001027,91.30176,1354.4982,1.0363
11/25/2013,68.869044,4.20014932,102.523072,1.0916,1.47544,0.1791,0.0837,0.010736,1.7634,0.00103,89.609444,1366.006408,1.0352
11/26/2013,68.678476,4.240359,102.645176,1.0957,1.48712,0.1799,0.0839,0.010819,1.7768,0.001033,89.496776,1361.790745,1.0394
11/27/2013,69.16792,4.1748567,101.65922,1.1014,1.49573,0.1808,0.0839,0.010782,1.794,0.001034,90.09452,1363.42306,1.0396
11/29/2013,69.41556,4.161969,101.80656,1.098,1.4922,0.1802,0.0838,0.010719,1.7972,0.001037,90.27756,1376.1783,1.0344
12/9/2013,73.90565,4.6228895,106.83065,1.0975,1.50782,0.1807,0.0854,0.010629,1.8032,0.001043,98.873775,1361.284125,1.0329
12/11/2013,77.850288,4.68074304,107.690688,1.1052,1.5235,0.182,0.0848,0.010791,1.8095,0.00105,101.612088,1384.064064,1.0436
12/12/2013,77.931385,4.92327189,109.09275,1.1189,1.53887,0.1843,0.0863,0.010824,1.8295,0.001063,101.540175,1371.200761,1.0517
12/13/2013,75.96555,4.85833715,107.7573,1.1155,1.53315,0.1838,0.0866,0.010806,1.8185,0.001058,100.1719,1381.758695,1.054
12/16/2013,77.650848,4.71783664,108.943648,1.1176,1.53784,0.184,0.0864,0.010849,1.8213,0.001061,101.120448,1387.299232,1.0547
12/17/2013,80.598936,4.73265894,109.255836,1.1238,1.54717,0.1851,0.0867,0.010946,1.8277,0.001067,105.603486,1383.274182,1.0595
12/18/2013,82.44821,4.811924,110.3673,1.1285,1.54429,0.1859,0.0876,0.010822,1.8497,0.001073,107.557335,1375.111105,1.0546
12/19/2013,84.912062,4.804428,111.392806,1.1278,1.5407,0.1858,0.087,0.010821,1.8463,0.001062,108.877812,1340.593304,1.0575
12/20/2013,84.896656,4.87606678,110.849752,1.1206,1.53253,0.1846,0.0863,0.010766,1.8307,0.001053,108.149106,1348.350744,1.0535
12/23/2013,84.943677,5.059236,110.430138,1.1193,1.53301,0.1844,0.0861,0.010753,1.8308,0.001055,107.329677,1341.883998,1.0553
12/24/2013,85.569506,5.00067117,110.935473,1.1209,1.53348,0.1846,0.086,0.010752,1.8349,0.001057,108.547956,1349.955915,1.0542
12/26/2013,85.855154,4.957722,111.91411,1.1242,1.53908,0.1851,0.0859,0.010726,1.8449,0.001061,109.182304,1361.001488,1.0557
12/27/2013,86.693475,4.8723785,113.1108,1.1275,1.55017,0.1858,0.0864,0.010725,1.8584,0.001069,110.370975,1367.961925,1.0531
12/30/2013,85.276983,4.96241735,111.512599,1.1231,1.55009,0.1853,0.0859,0.010685,1.8533,0.001064,108.862083,1343.867767,1.0546
12/31/2013,84.744435,4.834527,110.397714,1.1217,1.54116,0.1853,0.086,0.010653,1.8572,0.001064,107.739285,1347.879588,1.0557
1/7/2014,84.395868,5.08413972,104.929134,1.1202,1.52521,0.1851,0.0861,0.01071,1.8374,0.001047,108.480168,1380.176016,1.0406
1/8/2014,82.33008,4.88801145,103.732755,1.1235,1.52513,0.1857,0.0855,0.010712,1.8479,0.001052,105.642705,1377.399765,1.0382
1/9/2014,81.457013,4.65144378,102.998342,1.1237,1.5291,0.1856,0.0858,0.01072,1.8519,0.001057,106.066043,1379.881126,1.0364
1/10/2014,82.21761,4.39461186,103.086096,1.1118,1.5196,0.1837,0.0857,0.010673,1.8323,0.001047,105.84336,1388.0823,1.0209
1/13/2014,80.860445,4.627855,101.3931,1.1045,1.51003,0.1827,0.0844,0.010723,1.8095,0.001044,104.386295,1384.280895,1.0169
1/14/2014,82.844484,4.862708,103.265627,1.1153,1.52566,0.1846,0.0852,0.010702,1.8336,0.001053,106.210019,1388.760407,1.0188
1/15/2014,84.310672,4.98001616,105.621072,1.1216,1.52598,0.1855,0.085,0.010728,1.8362,0.001053,106.966992,1392.892608,1.0258
1/16/2014,85.549002,5.14529745,106.522452,1.1337,1.5441,0.1872,0.0854,0.010864,1.8541,0.001066,107.656152,1408.497543,1.0371
1/17/2014,86.970156,5.0033178,107.468556,1.1388,1.54215,0.1882,0.086,0.010916,1.8704,0.001073,108.892056,1428.11214,1.0386
1/21/2014,87.429844,5.2044548,107.870644,1.1356,1.54005,0.1877,0.0856,0.010888,1.8711,0.00106,109.290144,1409.745196,1.0353
1/22/2014,88.941281,5.54603621,109.332366,1.1297,1.53045,0.1867,0.0849,0.010808,1.8724,0.001058,110.688006,1397.608355,1.0188
1/23/2014,90.456528,6.44326,111.040748,1.1404,1.56194,0.1884,0.0851,0.011041,1.8974,0.001059,112.409228,1441.613852,1.0272
1/24/2014,90.684858,5.97191001,111.346356,1.1517,1.57528,0.1904,0.0856,0.011256,1.8981,0.00106,112.164063,1462.728102,1.0387
1/27/2014,89.049426,6.52251,109.532396,1.1443,1.56467,0.1892,0.0856,0.011158,1.8978,0.001056,110.390621,1438.510973,1.0295
1/28/2014,90.569841,5.92332,110.959731,1.1391,1.55737,0.1882,0.0859,0.011065,1.8887,0.001057,111.814056,1431.655053,1.0213
1/29/2014,90.525573,5.94944456,111.409048,1.1443,1.56342,0.1891,0.0854,0.011187,1.8954,0.001062,112.267273,1450.217162,1.0242
1/30/2014,90.945258,5.992517,111.697333,1.1371,1.54126,0.1877,0.0851,0.01107,1.8745,0.001052,112.550158,1414.302238,1.0191
1/31/2014,90.214479,5.744763,111.343329,1.1421,1.54048,0.1885,0.0855,0.011194,1.8778,0.001056,109.915704,1421.400555,1.0265
2/4/2014,87.55587,6.442875,108.901395,1.1205,1.51466,0.1849,0.0841,0.011024,1.8292,0.00104,109.18152,1405.835325,1.011
2/5/2014,86.282424,9.012069,109.289574,1.1223,1.5188,0.1852,0.0845,0.011063,1.8303,0.001041,107.886699,1411.763616,1.0126
2/6/2014,85.601378,8.01063254,109.209008,1.1162,1.51688,0.1841,0.0841,0.010931,1.8219,0.001038,107.925378,1404.40284,1.0082
2/7/2014,87.997929,6.686637,111.496044,1.1163,1.52203,0.1841,0.084,0.010906,1.8318,0.001039,110.714634,1414.653501,1.012
2/10/2014,88.070175,8.5258545,111.81705,1.1175,1.52481,0.1844,0.0839,0.010928,1.8329,0.00104,110.978925,1424.56665,1.0105
2/12/2014,84.610323,6.680637,111.199923,1.1079,1.50591,0.1827,0.0831,0.010805,1.8385,0.001043,109.261098,1430.465085,1.0069
2/13/2014,84.474145,5.924884,111.759795,1.1137,1.5236,0.1837,0.084,0.010901,1.8553,0.001046,109.309655,1451.062004,1.0144
2/14/2014,83.90302,6.099019,111.02207,1.1069,1.51562,0.1825,0.0836,0.010873,1.8538,0.001042,108.58689,1459.624754,1.0079
2/18/2014,86.330854,6.325538,113.471954,1.1078,1.52416,0.1826,0.0837,0.010823,1.8481,0.00104,111.034794,1464.533756,1.0118
2/19/2014,86.732466,6.711044,114.787741,1.1111,1.52593,0.1828,0.0833,0.010859,1.8533,0.00104,112.565541,1457.31876,1.0028
2/20/2014,87.077568,6.60688,114.282368,1.1104,1.52322,0.1825,0.0836,0.010857,1.8488,0.001036,111.783968,1469.025888,1.0002
2/21/2014,87.3933,6.91794,114.185,1.114,1.53073,0.1829,0.084,0.010872,1.8509,0.001038,111.3443,1475.2145,1.0029
2/24/2014,88.060119,6.8881008,114.178239,1.1067,1.51968,0.1815,0.0834,0.010797,1.8429,0.00103,111.854169,1479.624699,1.0006
2/25/2014,86.575104,5.78982096,113.241744,1.1088,1.524,0.1811,0.0838,0.010845,1.8495,0.001033,110.691504,1486.3464,1.0002
2/26/2014,87.62785,5.395262,114.38785,1.115,1.52605,0.1821,0.0836,0.010892,1.8587,0.001042,111.60035,1483.6636,1.0019
2/27/2014,86.61081,5.09046252,114.21696,1.1154,1.52925,0.182,0.0841,0.010922,1.8614,0.001046,110.87076,1484.920866,1.0029
2/28/2014,86.65947,5.26220415,114.952095,1.1205,1.54619,0.1823,0.0846,0.011008,1.8761,0.00105,112.150845,1486.219995,1.0126
3/3/2014,89.134796,7.67317792,117.384496,1.1188,1.53668,0.1821,0.0839,0.01103,1.8647,0.001043,114.587496,1511.062468,1.0103
3/4/2014,89.194059,8.85426731,115.450609,1.1173,1.53552,0.1819,0.0841,0.010931,1.8619,0.001043,112.098709,1491.003331,1.0072
3/6/2014,86.533866,5.39456037,111.726156,1.1001,1.52483,0.1798,0.0836,0.010674,1.8415,0.001033,107.875806,1486.037082,1.0012
3/7/2014,89.029044,5.260356,113.125224,1.1028,1.53013,0.18,0.0836,0.01068,1.8432,0.001035,109.816824,1477.729944,0.9947
3/10/2014,87.831214,5.12940055,112.111744,1.1087,1.53844,0.1806,0.0839,0.010733,1.8454,0.001039,109.062819,1485.347564,0.9979
3/11/2014,86.92542,5.1846674,111.43342,1.114,1.544,0.1814,0.0839,0.010813,1.8511,0.001041,108.92692,1502.79714,1.003
3/12/2014,83.712024,5.18449348,109.023674,1.1126,1.54692,0.181,0.084,0.010828,1.849,0.001039,106.520324,1520.746184,1.0006
3/13/2014,84.653085,4.87212,108.73686,1.1073,1.53554,0.1804,0.0833,0.010873,1.8408,0.001034,106.3008,1517.311044,1
3/14/2014,85.052604,4.862364,109.530564,1.1076,1.54134,0.1801,0.0839,0.010925,1.8441,0.001033,107.315364,1531.722192,0.9973
3/17/2014,84.543732,5.0502858,107.927232,1.1004,1.53211,0.1781,0.0836,0.010815,1.8309,0.001031,106.826832,1504.323828,0.9956
3/18/2014,86.505515,4.86731854,109.24129,1.0957,1.52672,0.1769,0.0833,0.010802,1.818,0.001024,109.515215,1485.528146,0.9839
3/19/2014,88.051758,4.91340311,110.999183,1.1059,1.52983,0.1785,0.0832,0.01081,1.8294,0.001029,110.722708,1470.393581,0.9842
3/20/2014,88.94652,4.86772,109.999409,1.1063,1.52433,0.1776,0.0834,0.010803,1.8259,0.001024,111.62567,1468.911951,0.9838
3/21/2014,87.702615,4.745741,110.065956,1.1011,1.51892,0.1769,0.0832,0.010769,1.8154,0.001019,110.825715,1469.627159,0.9808
3/24/2014,87.41385,4.8316875,109.6095,1.095,1.51541,0.1768,0.0831,0.01071,1.8066,0.001016,110.40885,1433.0922,0.9784
3/25/2014,86.76723,4.907318,108.59814,1.091,1.50847,0.1759,0.0832,0.010669,1.8034,0.001012,109.67823,1430.48647,0.9769
3/26/2014,88.099392,4.7940897,108.671814,1.0839,1.49371,0.1746,0.0826,0.010622,1.7974,0.001007,110.048367,1413.925872,0.9763
3/27/2014,88.5924,4.736448,109.3824,1.08,1.48398,0.1738,0.0826,0.010571,1.794,0.001011,111.0024,1394.6148,0.9791
3/28/2014,89.096546,4.84748364,109.945938,1.0814,1.48706,0.174,0.0827,0.010515,1.7992,0.001011,111.265246,1400.661722,0.9774
