Date,iron ore 62,UAHUSD,RUBUSD,EURUSD,TRYUSD,PLNUSD,CNYUSD,INRUSD
21/10/2013,135.4,0.1222,0.03127,1.3681,0.50494,0.3278,0.16412,0.016232
22/10/2013,135.4,0.1222,0.03155,1.3781,0.5083,0.3308,0.16413,0.016357
23/10/2013,135.4,0.1223,0.0315,1.3776,0.50588,0.3293,0.1644,0.016228
24/10/2013,135,0.1223,0.03155,1.3801,0.50508,0.3301,0.16444,0.016267
25/10/2013,134.5,0.1223,0.03144,1.3802,0.50403,0.3301,0.1644,0.016273
28/10/2013,134,0.1224,0.03133,1.3785,0.50407,0.3297,0.1643,0.016251
29/10/2013,133.9,0.1224,0.03116,1.3745,0.50207,0.3283,0.16422,0.016281
30/10/2013,133.6,0.122,0.03126,1.3736,0.50127,0.3285,0.16409,0.016308
31/10/2013,133.6,0.1221,0.03119,1.3584,0.50079,0.3248,0.16413,0.016094
1/11/2013,134.5,0.1223,0.03086,1.3487,0.49581,0.3212,0.16395,0.016071
4/11/2013,136,0.1219,0.03095,1.3514,0.49603,0.3232,0.16398,0.016131
5/11/2013,136.7,0.1218,0.03072,1.3474,0.49274,0.3219,0.16402,0.016077
6/11/2013,137.6,0.1221,0.0309,1.3513,0.4913,0.3238,0.16408,0.016026
7/11/2013,138.1,0.1221,0.03083,1.3419,0.49128,0.3199,0.16418,0.015916
8/11/2013,138.12,0.1219,0.0306,1.3367,0.49069,0.3199,0.16419,0.015782
11/11/2013,137.62,0.1219,0.03045,1.3407,0.48934,0.3181,0.16414,0.015743
12/11/2013,137.61,0.1217,0.03043,1.3436,0.48679,0.3195,0.16414,0.015633
13/11/2013,137.61,0.122,0.03053,1.3487,0.48926,0.3214,0.16403,0.015809
14/11/2013,137.05,0.1219,0.03062,1.3461,0.49183,0.3211,0.16408,0.015855
15/11/2013,135.99,0.1219,0.03069,1.3496,0.4927,0.3224,0.16413,0.01593
18/11/2013,135.19,0.1222,0.03068,1.3506,0.49458,0.3236,0.16414,0.016082
19/11/2013,134.62,0.1217,0.03054,1.3538,0.4972,0.3237,0.16413,0.016055
20/11/2013,134.4,0.1217,0.03039,1.3439,0.49619,0.3206,0.16419,0.01598
21/11/2013,134.4,0.1216,0.03029,1.3482,0.49599,0.3214,0.1641,0.015877
22/11/2013,134.4,0.1217,0.03053,1.3558,0.49851,0.3232,0.1641,0.016001
25/11/2013,134.84,0.1219,0.03037,1.3517,0.49822,0.322,0.16414,0.015999
26/11/2013,135.14,0.1219,0.03036,1.3572,0.49695,0.3229,0.16413,0.015999
27/11/2013,135.15,0.1215,0.03014,1.3579,0.49368,0.3229,0.16414,0.016002
28/11/2013,135.15,0.1218,0.03015,1.3606,0.49628,0.3243,0.16414,0.016066
29/11/2013,135.96,0.1216,0.03017,1.3591,0.49526,0.3232,0.16416,0.016007
2/12/2013,135.5,0.1214,0.0301,1.3542,0.49061,0.3223,0.16411,0.016048
3/12/2013,135.13,0.1217,0.03006,1.3588,0.48922,0.3233,0.16415,0.016025
4/12/2013,137.03,0.1213,0.03013,1.3593,0.48813,0.3236,0.16417,0.01621
5/12/2013,137.52,0.1217,0.03035,1.3667,0.49094,0.3262,0.16416,0.01623
6/12/2013,136.98,0.1217,0.0305,1.3706,0.49369,0.3275,0.16448,0.016352
9/12/2013,135.96,0.1224,0.03061,1.3739,0.49211,0.3281,0.16467,0.016433
10/12/2013,136,0.1212,0.03055,1.3761,0.49329,0.3293,0.16471,0.016367
11/12/2013,135.99,0.121,0.0305,1.3786,0.48939,0.3296,0.1647,0.016325
12/12/2013,135.82,0.1207,0.03047,1.3753,0.48957,0.3291,0.16469,0.016081
13/12/2013,135.59,0.1209,0.03038,1.3742,0.49044,0.3289,0.16474,0.016095
16/12/2013,135.03,0.1206,0.03038,1.3761,0.4934,0.3296,0.1647,0.0162
17/12/2013,134.01,0.1206,0.03034,1.3768,0.49121,0.3293,0.16471,0.016188
18/12/2013,133.94,0.1206,0.03042,1.3685,0.48596,0.3282,0.16462,0.016115
19/12/2013,133.1,0.1208,0.03031,1.3661,0.48246,0.3285,0.16478,0.016008
20/12/2013,132.8,0.1215,0.03026,1.3673,0.47814,0.329,0.16468,0.016125
23/12/2013,131.97,0.1214,0.03057,1.3696,0.47675,0.3292,0.16474,0.016187
24/12/2013,131.48,0.1223,0.03065,1.368,0.48161,0.3305,0.16471,0.016175
25/12/2013,131.2,0.1223,0.03058,1.3681,0.4773,0.3301,0.16474,
26/12/2013,131.16,0.1217,0.03062,1.3691,0.47007,0.3308,0.16474,0.016152
27/12/2013,131.09,0.1214,0.0307,1.3749,0.46423,0.3315,0.16483,0.016139
30/12/2013,132.19,0.1214,0.03047,1.3801,0.47098,0.3329,0.16496,0.016152
31/12/2013,133.41,0.1214,0.03039,1.3743,0.46557,0.3308,0.16513,0.016165
2/1/2014,134.72,0.1214,0.03021,1.3672,0.46069,0.328,0.16528,0.016046
3/1/2014,134.72,0.1214,0.03014,1.3589,0.45917,0.3261,0.16524,0.016056
6/1/2014,134.13,0.1214,0.03014,1.3629,0.46056,0.3264,0.16515,0.016048
7/1/2014,134.09,0.1215,0.03018,1.3616,0.46145,0.3261,0.16526,0.016102
8/1/2014,134,0.1213,0.0301,1.3576,0.45756,0.325,0.16523,0.016098
9/1/2014,133.93,0.121,0.03013,1.3608,0.4593,0.3259,0.16516,0.01613
10/1/2014,133.9,0.1207,0.03027,1.367,0.46177,0.3297,0.16525,0.016259
13/01/2014,133.2,0.1203,0.03005,1.3671,0.45884,0.3291,0.16545,0.016263
14/01/2014,133,0.1202,0.03003,1.3679,0.45794,0.3302,0.16554,0.016263
15/01/2014,131.7,0.12,0.02994,1.3605,0.45639,0.3272,0.16538,0.016254
16/01/2014,130.7,0.1199,0.02994,1.362,0.45313,0.3269,0.16514,0.016291
17/01/2014,130,0.1195,0.02978,1.3541,0.44771,0.3252,0.16528,0.016226
20/01/2014,129.2,0.1194,0.02957,1.3552,0.44633,0.3258,0.16521,0.016251
21/01/2014,127.4,0.119,0.02943,1.3561,0.44417,0.3256,0.16528,0.016107
22/01/2014,124.9,0.1193,0.02947,1.3547,0.44274,0.3255,0.16523,0.016174
23/01/2014,126.1,0.1185,0.0293,1.3696,0.43618,0.3275,0.16522,0.016087
24/01/2014,126.7,0.1186,0.02902,1.3678,0.42799,0.326,0.16534,0.015943
27/01/2014,126.5,0.1178,0.02891,1.3673,0.43798,0.3253,0.16533,0.015767
28/01/2014,125.6,0.1179,0.02877,1.3671,0.44399,0.3255,0.16526,0.015934
29/01/2014,125.5,0.1179,0.02847,1.3663,0.44224,0.3233,0.16511,0.015886
30/01/2014,125.4,0.1181,0.02859,1.3555,0.44068,0.3203,0.165,0.01601
7/2/2014,125.3,0.117,0.02877,1.3635,0.45095,0.3266,0.16489,0.0161
10/2/2014,124.4,0.1186,0.02877,1.3646,0.45124,0.3265,0.16502,0.016047
11/2/2014,123.4,0.1159,0.02878,1.3638,0.45593,0.3269,0.16501,0.016121
12/2/2014,122.9,0.1151,0.02872,1.3593,0.45608,0.3269,0.16493,0.016161
13/02/2014,122.8,0.1138,0.0285,1.3681,0.45766,0.3289,0.16494,0.016087
14/02/2014,123,0.1138,0.0285,1.3693,0.45767,0.3302,0.16483,0.016167
17/02/2014,123.5,0.1129,0.02838,1.3707,0.45936,0.3308,0.1649,0.016191
18/02/2014,124.1,0.113,0.02819,1.3759,0.45873,0.3317,0.16481,0.016086
19/02/2014,123.9,0.1117,0.02793,1.3733,0.45161,0.3292,0.16457,0.016028
20/02/2014,123,0.1117,0.02796,1.3719,0.45456,0.3292,0.16435,0.016103
21/02/2014,121.5,0.1117,0.02815,1.3746,0.45931,0.3308,0.16417,0.016119
24/02/2014,120.6,0.1091,0.02814,1.3735,0.45428,0.33,0.16399,0.016165
25/02/2014,118.5,0.1028,0.02798,1.3745,0.45198,0.3309,0.16329,0.016146
26/02/2014,117.7,0.0985,0.02774,1.3687,0.44882,0.3274,0.16329,0.016095
27/02/2014,116.9,0.0935,0.02776,1.371,0.45185,0.3297,0.16316,0.016136
28/02/2014,115.8,0.1006,0.02768,1.3802,0.45301,0.3318,0.1627,0.016165
3/3/2014,115.8,0.1026,0.02741,1.3735,0.44784,0.3249,0.1627,0.016075
4/3/2014,114.3,0.1101,0.02774,1.3743,0.45339,0.3285,0.16284,0.016151
5/3/2014,113.3,0.107,0.02774,1.3733,0.45387,0.3281,0.16318,0.016296
6/3/2014,112.3,0.1084,0.02767,1.3861,0.45869,0.3317,0.16343,0.016415
7/3/2014,110.3,0.1083,0.02745,1.3875,0.45356,0.3301,0.16326,0.016338
10/3/2014,105.4,0.1083,0.02752,1.3877,0.45075,0.3294,0.16293,0.016395
11/3/2014,103.6,0.1083,0.02742,1.386,0.44514,0.3281,0.16288,0.016373
12/3/2014,104,0.1067,0.0274,1.3903,0.44798,0.3291,0.16268,0.016397
13/03/2014,105,0.1032,0.02729,1.3868,0.4478,0.3274,0.16299,0.016269
14/03/2014,104.8,0.1031,0.02735,1.3914,0.45189,0.3294,0.1626,0.016321
17/03/2014,105,0.1026,0.02755,1.3922,0.45056,0.3293,0.16183,0.016379
18/03/2014,104.4,0.0998,0.02759,1.3934,0.45079,0.3311,0.1615,0.016389
19/03/2014,103.2,0.0986,0.02765,1.3833,0.44654,0.3284,0.16142,0.016273
20/03/2014,101.9,0.0953,0.02753,1.3779,0.4485,0.3283,0.16057,0.01633
21/03/2014,101.8,0.0948,0.0276,1.3794,0.44778,0.329,0.16063,0.016393
24/03/2014,102.7,0.0928,0.02771,1.3839,0.44707,0.3295,0.16139,0.016494
25/03/2014,104.4,0.0914,0.02819,1.3826,0.45112,0.3299,0.16124,0.016597
26/03/2014,105.2,0.0898,0.02812,1.3781,0.45631,0.3296,0.16101,0.01661
27/03/2014,105.2,0.09,0.02807,1.374,0.45758,0.33,0.16095,0.016615
28/03/2014,106.1,0.0902,0.02798,1.3752,0.45637,0.3297,0.16098,0.0167
31/03/2014,108.1,0.0907,0.02852,1.3769,0.46713,0.3305,0.16084,
1/4/2014,110.1,0.0882,0.02849,1.3793,0.4678,0.3306,0.16111,0.016724
2/4/2014,110,0.0881,0.0282,1.3767,0.46988,0.3304,0.16115,0.016713
3/4/2014,109.9,0.0874,0.02808,1.372,0.46907,0.3293,0.16102,0.016558
4/4/2014,109.8,0.0863,0.02835,1.3705,0.47305,0.3293,0.16103,0.016719
8/4/2014,113,0.0838,0.02799,1.3797,0.47696,0.331,0.16139,0.016635
9/4/2014,113.1,0.0823,0.02811,1.3855,0.47532,0.3328,0.16128,0.016685
10/4/2014,113.1,0.0794,0.02811,1.3886,0.47405,0.3326,0.16097,0.016554
11/4/2014,113,0.0795,0.02805,1.3885,0.47338,0.3322,0.161,0.016575
14/04/2014,113.4,0.0769,0.02781,1.3821,0.47154,0.3306,0.1608,0.016566
15/04/2014,112.8,0.084,0.02758,1.3815,0.46676,0.3298,0.16075,0.016555
16/04/2014,111.8,0.0886,0.02781,1.3816,0.46802,0.3298,0.16073,0.016587
17/04/2014,111.2,0.0897,0.02818,1.3814,0.47021,0.3303,0.16078,0.016568
18/04/2014,108.9,0.0886,0.02809,1.3813,0.46984,0.3305,0.16066,0.016562
21/04/2014,108.8,0.0885,0.028,1.3793,0.46865,0.3301,0.16013,0.016528
22/04/2014,108.7,0.0852,0.02806,1.3805,0.46699,0.3295,0.16033,0.016416
23/04/2014,108.6,0.0866,0.02803,1.3817,0.46492,0.3299,0.16032,0.016355
24/04/2014,108,0.0885,0.02795,1.3831,0.4683,0.3296,0.16004,0.016363
25/04/2014,107.9,0.087,0.02778,1.3834,0.46855,0.3286,0.1599,0.016483
28/04/2014,106.4,0.0866,0.02788,1.3851,0.47044,0.3292,0.15991,0.016509
29/04/2014,104.9,0.0866,0.02807,1.3812,0.47177,0.3293,0.1598,0.01659
30/04/2014,103.9,0.0862,0.02807,1.3867,0.4734,0.3299,0.15974,0.016581
5/5/2014,102.3,0.0859,0.02799,1.3875,0.47613,0.33,0.1601,0.016637
6/5/2014,102.1,0.0847,0.02822,1.3928,0.47851,0.3317,0.16061,0.016662
7/5/2014,100.7,0.086,0.02863,1.391,0.48046,0.3321,0.16038,0.016695
8/5/2014,99.3,0.0858,0.02852,1.384,0.48231,0.3312,0.16056,0.016685
9/5/2014,98.8,0.0859,0.0284,1.3758,0.48164,0.3291,0.16057,0.016711
12/5/2014,98.6,0.0849,0.02855,1.3757,0.48057,0.329,0.16031,0.016788
13/05/2014,98.6,0.0845,0.02865,1.3704,0.48348,0.3273,0.16053,0.016817
14/05/2014,98.9,0.0838,0.02885,1.3715,0.48307,0.3273,0.16053,0.016813
15/05/2014,99,0.0846,0.02876,1.371,0.47656,0.327,0.1605,0.016817
16/05/2014,98.9,0.0836,0.02882,1.3694,0.47633,0.3267,0.16041,0.017081
19/05/2014,97.4,0.0837,0.02892,1.3709,0.47689,0.3273,0.16033,0.017112
20/05/2014,96.7,0.0837,0.02896,1.3702,0.47314,0.3271,0.16033,0.017057
21/05/2014,96.1,0.084,0.02917,1.3687,0.47753,0.3276,0.16042,0.017053
22/05/2014,96,0.0837,0.02915,1.3656,0.48056,0.3282,0.16038,0.017133
23/05/2014,95.2,0.0837,0.0293,1.3629,0.48035,0.3281,0.16038,0.017115
26/05/2014,95.2,0.0839,0.02922,1.3646,0.47993,0.3278,0.16027,0.017038
27/05/2014,95,0.084,0.02905,1.3635,0.4758,0.3274,0.16006,0.016963
28/05/2014,94.3,0.084,0.02893,1.3591,0.47633,0.3274,0.15985,0.016975
29/05/2014,94.4,0.0845,0.02883,1.3602,0.47928,0.3286,0.1603,0.016971
30/05/2014,92.2,0.0848,0.02865,1.3635,0.47686,0.329,0.16006,0.016862
3/6/2014,91.2,0.0837,0.02852,1.3628,0.47234,0.3279,0.15988,0.01686
4/6/2014,91.8,0.0839,0.02856,1.3599,0.47269,0.3293,0.16,0.016872
5/6/2014,91.4,0.0843,0.02883,1.366,0.47703,0.3305,0.15979,0.016935
6/6/2014,91.4,0.085,0.02907,1.3643,0.48112,0.3331,0.15998,0.016958
9/6/2014,90.9,0.0851,0.02911,1.3594,0.47925,0.3313,0.16025,0.016893
10/6/2014,90.9,0.0859,0.02913,1.3547,0.48084,0.3299,0.16066,0.016896
11/6/2014,90.2,0.0865,0.02908,1.3532,0.47247,0.3294,0.16057,0.016838
12/6/2014,88.8,0.0855,0.02909,1.3552,0.47355,0.3293,0.16081,0.016863
13/06/2014,87.8,0.0848,0.02907,1.354,0.47081,0.3287,0.16105,0.016748
16/06/2014,86.1,0.0843,0.02889,1.3574,0.4665,0.3278,0.16077,0.016605
17/06/2014,86,0.0843,0.02872,1.3547,0.46533,0.327,0.1606,0.01659
18/06/2014,86.6,0.0845,0.0291,1.3595,0.47052,0.3293,0.16048,0.016721
19/06/2014,86.2,0.0843,0.02907,1.3608,0.46668,0.3279,0.16055,0.016617
20/06/2014,85.8,0.0842,0.02903,1.36,0.46681,0.3262,0.16067,0.016622
23/06/2014,87.2,0.0844,0.02936,1.3605,0.46778,0.3269,0.16062,0.016648
24/06/2014,87.2,0.0841,0.02958,1.3606,0.46711,0.3277,0.16051,0.016616
25/06/2014,87.8,0.0838,0.02962,1.3629,0.46888,0.3294,0.16038,0.016651
26/06/2014,89.5,0.0841,0.02969,1.3612,0.47026,0.3279,0.16066,0.016619
27/06/2014,90.2,0.0852,0.02963,1.3649,0.47098,0.3287,0.16082,0.016669
30/06/2014,90.4,0.0851,0.02942,1.3692,0.47206,0.3293,0.16117,0.016655
1/7/2014,89.7,0.0846,0.02914,1.3679,0.46981,0.3288,0.16127,0.016688
2/7/2014,89.9,0.0843,0.02917,1.366,0.46946,0.3295,0.16102,0.016789
3/7/2014,90.8,0.0845,0.02917,1.361,0.4698,0.3286,0.161,0.016791
4/7/2014,92.4,0.0852,0.02907,1.3595,0.4688,0.3275,0.1612,0.016729
7/7/2014,92.5,0.0854,0.02902,1.3605,0.46963,0.3284,0.16119,0.016671
8/7/2014,92.6,0.0857,0.0292,1.3612,0.47067,0.3299,0.16125,0.016705
9/7/2014,93.6,0.0853,0.02948,1.3642,0.47258,0.3307,0.16129,0.01676
10/7/2014,93.6,0.0857,0.02941,1.3609,0.47088,0.3284,0.16123,0.016647
11/7/2014,93.5,0.0854,0.02925,1.3608,0.47227,0.3286,0.16118,0.016631
14/07/2014,93.5,0.0853,0.02911,1.3619,0.47256,0.3291,0.16113,0.016643
15/07/2014,94,0.0856,0.02908,1.3568,0.47101,0.328,0.16108,0.016616
16/07/2014,94.8,0.0862,0.0289,1.3525,0.47194,0.3272,0.16119,0.016644
17/07/2014,94.9,0.0854,0.02835,1.3526,0.46702,0.3254,0.16119,0.016484
18/07/2014,94.3,0.0859,0.02843,1.3524,0.47093,0.326,0.16097,0.016574
21/07/2014,93.4,0.0855,0.02842,1.3524,0.4721,0.3262,0.16105,0.016585
22/07/2014,92.6,0.0866,0.0286,1.3466,0.47462,0.3254,0.16116,0.016633
23/07/2014,92.5,0.0856,0.02866,1.3464,0.47829,0.3256,0.16133,0.016675
24/07/2014,92.1,0.0853,0.02851,1.3464,0.47812,0.3253,0.16141,0.016645
25/07/2014,91.3,0.0841,0.02847,1.343,0.47748,0.3239,0.1615,0.016649
28/07/2014,92.1,0.0823,0.02811,1.344,0.47638,0.3243,0.16163,0.016644
29/07/2014,92.3,0.0825,0.02797,1.3409,0.47248,0.3229,0.16179,0.016599
30/07/2014,92.3,0.0818,0.02811,1.3397,0.46881,0.3223,0.16204,0.016565
31/07/2014,92.3,0.0815,0.02799,1.339,0.46692,0.3205,0.16198,0.016414
1/8/2014,92.7,0.0821,0.02797,1.3427,0.46842,0.3209,0.16185,0.016449
4/8/2014,92.6,0.0809,0.02786,1.3422,0.46896,0.3216,0.16183,0.016419
5/8/2014,93.1,0.0818,0.02771,1.3376,0.46603,0.3194,0.16206,0.016369
6/8/2014,93.3,0.0809,0.02763,1.3383,0.46326,0.3185,0.16226,0.016331
7/8/2014,93.6,0.08,0.02755,1.3364,0.46148,0.317,0.16229,0.01626
8/8/2014,93.4,0.0806,0.02765,1.341,0.46635,0.3193,0.16244,0.016361
11/8/2014,93.1,0.078,0.02784,1.3385,0.46507,0.319,0.1625,0.016359
12/8/2014,92.1,0.0765,0.02764,1.3369,0.46271,0.3183,0.16241,0.016328
13/08/2014,91.6,0.0761,0.02778,1.3364,0.46368,0.3191,0.16247,0.016363
14/08/2014,90.4,0.0772,0.02776,1.3365,0.46468,0.3198,0.16254,0.01643
15/08/2014,90.4,0.0762,0.02769,1.3401,0.46149,0.3185,0.16249,0.016413
18/08/2014,90.1,0.0768,0.02772,1.3364,0.4622,0.3195,0.16277,0.016453
19/08/2014,89.9,0.0763,0.02765,1.332,0.46249,0.3184,0.16282,0.016465
20/08/2014,89,0.0753,0.02754,1.3259,0.45778,0.3165,0.16283,0.016476
21/08/2014,88.4,0.0749,0.02777,1.3281,0.45916,0.3172,0.16255,0.016513
22/08/2014,87.7,0.0739,0.02767,1.3242,0.45983,0.3159,0.16244,0.016549
25/08/2014,87.6,0.0738,0.02766,1.3192,0.45916,0.3152,0.16246,0.016523
26/08/2014,87.3,0.0738,0.02766,1.3167,0.46183,0.3145,0.16252,0.016531
27/08/2014,86.9,0.0736,0.02764,1.3193,0.46392,0.3141,0.16275,0.016573
28/08/2014,86.2,0.0741,0.0272,1.3182,0.46338,0.3122,0.16279,0.016491
29/08/2014,86.2,0.0758,0.02699,1.3132,0.46248,0.3118,0.16269,0.016498
1/9/2014,86.3,0.0798,0.02679,1.3128,0.46289,0.3123,0.16281,0.016521
2/9/2014,85.8,0.0804,0.02671,1.3133,0.4603,0.3121,0.16263,0.016498
3/9/2014,85.2,0.081,0.02714,1.315,0.46355,0.3135,0.16283,0.016547
4/9/2014,84.7,0.0788,0.02704,1.2944,0.46228,0.3088,0.16293,0.016531
5/9/2014,82.9,0.0781,0.02707,1.2951,0.46316,0.31,0.16287,0.0166
9/9/2014,82.4,0.0792,0.02696,1.2937,0.45525,0.3078,0.16294,0.016431
10/9/2014,81.7,0.0769,0.02681,1.2917,0.45612,0.3079,0.16315,0.016454
11/9/2014,81.7,0.0771,0.02663,1.2925,0.45434,0.3079,0.16312,0.016409
12/9/2014,81.6,0.0778,0.02647,1.2963,0.44974,0.3083,0.16309,0.016382
15/09/2014,83.1,0.0772,0.02607,1.294,0.45149,0.3084,0.16282,0.016358
16/09/2014,83.5,0.0776,0.0261,1.296,0.45388,0.3095,0.16272,0.016399
17/09/2014,83.5,0.0786,0.02598,1.2865,0.44968,0.3072,0.16285,0.016382
18/09/2014,83.4,0.0778,0.02602,1.2923,0.44933,0.3076,0.16279,0.016456
19/09/2014,82.9,0.0711,0.02602,1.2829,0.44751,0.3066,0.16282,0.016416
22/09/2014,82.2,0.0706,0.02582,1.2849,0.44625,0.3072,0.16286,0.016385
23/09/2014,81.7,0.0763,0.02591,1.2847,0.44656,0.3078,0.16285,0.016377
24/09/2014,81.5,0.0755,0.02618,1.278,0.44713,0.3062,0.16298,0.016442
25/09/2014,81.4,0.0773,0.02599,1.2751,0.44227,0.3049,0.16298,0.016262
26/09/2014,81.6,0.0776,0.02554,1.2684,0.44218,0.3032,0.1632,0.016292
29/09/2014,80.9,0.0772,0.02534,1.2685,0.43891,0.3033,0.16261,0.016216
30/09/2014,80.8,0.0772,0.02526,1.2631,0.43896,0.302,0.1629,0.016151
8/10/2014,80.8,0.0774,0.02502,1.2734,0.44207,0.3049,0.16282,0.016387
9/10/2014,81.4,0.0772,0.02493,1.2691,0.44063,0.3034,0.16312,0.016362
10/10/2014,81.4,0.0772,0.02479,1.2628,0.43698,0.3017,0.16313,0.016325
13/10/2014,83.2,0.0775,0.02469,1.2752,0.44068,0.3042,0.16328,0.016387
14/10/2014,83.9,0.0775,0.02444,1.2658,0.43993,0.3011,0.16323,0.016292
15/10/2014,83.1,0.0776,0.02476,1.2838,0.44072,0.3041,0.16329,0.016235
16/10/2014,82.4,0.0775,0.02448,1.2809,0.442,0.3028,0.16332,0.016225
17/10/2014,82.2,0.0776,0.02455,1.2761,0.44536,0.3025,0.16328,0.016315
20/10/2014,82.2,0.0769,0.02437,1.28,0.44563,0.3031,0.16329,0.016352
21/10/2014,81.6,0.0777,0.02442,1.2716,0.44549,0.3013,0.16335,0.016367
22/10/2014,81.6,0.0761,0.02417,1.2649,0.44524,0.2988,0.1635,0.016341
23/10/2014,81.1,0.0769,0.02398,1.2646,0.4472,0.2991,0.16341,
24/10/2014,80.8,0.0769,0.02387,1.2671,0.44826,0.3007,0.16345,0.016364
27/10/2014,80.3,0.0769,0.02367,1.2698,0.44849,0.3005,0.16346,0.016304
28/10/2014,79.9,0.077,0.02356,1.2734,0.45328,0.3021,0.16355,0.016348
29/10/2014,79.2,0.077,0.02316,1.2632,0.45135,0.299,0.16354,0.016262
30/10/2014,78.6,0.0769,0.02405,1.2613,0.4549,0.2995,0.16355,0.016303
31/10/2014,77.5,0.0769,0.02325,1.2525,0.44996,0.2964,0.16359,0.016284
3/11/2014,76.9,0.0769,0.02294,1.2482,0.44765,0.2955,0.16333,0.016277
4/11/2014,76.4,0.0769,0.02295,1.2546,0.45017,0.2968,0.16353,0.016308
5/11/2014,76.1,0.0738,0.02228,1.2486,0.44553,0.2953,0.16357,0.016286
6/11/2014,75.7,0.0714,0.02137,1.2375,0.44178,0.2932,0.16371,0.01625
7/11/2014,74.9,0.0689,0.02142,1.2455,0.44276,0.2947,0.16331,0.016288
10/11/2014,74.9,0.0673,0.0218,1.2421,0.4426,0.2944,0.1634,0.016254
11/11/2014,74.8,0.0632,0.02158,1.2475,0.44313,0.2957,0.16323,0.016263
12/11/2014,74.8,0.0631,0.02218,1.2438,0.4442,0.2949,0.16325,0.016288
13/11/2014,74.8,0.0644,0.02138,1.2477,0.44602,0.2944,0.16328,0.016265
14/11/2014,74.8,0.0644,0.02119,1.2525,0.44839,0.2961,0.16312,0.016219
17/11/2014,74.6,0.0644,0.02119,1.245,0.44819,0.2949,0.16325,0.016183
18/11/2014,73,0.0644,0.02132,1.2536,0.45023,0.2973,0.16338,0.016196
19/11/2014,72.5,0.0665,0.02134,1.2554,0.44799,0.2975,0.16349,0.016111
20/11/2014,71.2,0.0658,0.02167,1.2539,0.45061,0.2976,0.1633,0.016151
21/11/2014,71.2,0.0658,0.02188,1.2391,0.45009,0.295,0.1633,0.016209
24/11/2014,71,0.0662,0.02223,1.2442,0.44843,0.2965,0.16282,0.016162
25/11/2014,70.1,0.0663,0.02161,1.2474,0.45075,0.2987,0.16296,0.016175
26/11/2014,69.4,0.0662,0.02109,1.2506,0.45236,0.2993,0.16286,0.016185
27/11/2014,69.4,0.0666,0.02056,1.2467,0.45308,0.2984,0.16289,0.016169
28/11/2014,70.4,0.066,0.01983,1.2452,0.45042,0.2976,0.16283,0.016065
1/12/2014,70.7,0.0662,0.01954,1.247,0.4516,0.2985,0.16255,0.01615
2/12/2014,70.7,0.0654,0.01856,1.2383,0.44826,0.2974,0.16265,0.016173
3/12/2014,69.9,0.0656,0.01878,1.2311,0.44642,0.2964,0.16261,0.016143
4/12/2014,70.6,0.0652,0.01839,1.2379,0.44769,0.2978,0.16255,0.016232
5/12/2014,71,0.0647,0.01898,1.2283,0.44235,0.2954,0.16259,0.016132
8/12/2014,71,0.0642,0.01861,1.2317,0.44069,0.296,0.16199,0.016171
9/12/2014,70.1,0.0645,0.0185,1.2374,0.44115,0.2976,0.16164,0.016116
10/12/2014,70.1,0.0637,0.01822,1.2448,0.44138,0.298,0.16193,0.016065
11/12/2014,70,0.0636,0.01772,1.2411,0.43898,0.2974,0.1616,0.015991
12/12/2014,69.5,0.0635,0.01718,1.2462,0.43505,0.2978,0.16168,0.015966
15/12/2014,69.5,0.0639,0.01528,1.2437,0.42098,0.2971,0.16156,0.015723
16/12/2014,69,0.0633,0.01465,1.2511,0.42351,0.2968,0.16156,0.01567
17/12/2014,68.5,0.0632,0.01651,1.2342,0.42764,0.2916,0.16142,0.015788
