Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,372.3,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,349.1,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,580.5,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,460.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,433.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,377.9,
131,Malaysia,486,Bananas,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,359.3,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,372.3,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,365.0,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,326.9,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,358.5,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,361.6,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,381.4,
131,Malaysia,358,Cabbages and other brassicas,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,359.3,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,291.4,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,301.5,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,290.3,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,268.9,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,313.4,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,305.8,
131,Malaysia,125,Cassava,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,223.0,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,1392.1,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,1539.2,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,1399.4,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,1331.5,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,1518.7,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,1397.5,
131,Malaysia,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,1462.2,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,2107.9,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,2003.9,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,2607.8,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,2055.8,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,2017.7,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,1436.6,
131,Malaysia,661,"Cocoa, beans",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,1525.1,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,372.3,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,333.2,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,275.0,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,243.2,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,241.1,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,281.4,
131,Malaysia,249,Coconuts,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,297.4,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,323.8,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,333.2,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,369.7,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,320.1,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,325.4,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,295.3,
131,Malaysia,397,Cucumbers and gherkins,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,309.8,
131,Malaysia,720,Ginger,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,1699.7,
131,Malaysia,720,Ginger,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,1269.5,
131,Malaysia,720,Ginger,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,2245.7,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,615.1,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,460.2,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,550.0,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,601.7,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,554.4,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,512.7,
131,Malaysia,507,Grapefruit (inc. pomelos),5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,532.8,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,906.5,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,777.6,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,1038.8,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,780.9,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,771.4,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,672.0,
131,Malaysia,497,Lemons and limes,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,718.7,
131,Malaysia,372,Lettuce and chicory,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,841.8,
131,Malaysia,372,Lettuce and chicory,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,666.5,
131,Malaysia,372,Lettuce and chicory,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,825.0,
131,Malaysia,56,Maize,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,194.3,
131,Malaysia,56,Maize,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,190.4,
131,Malaysia,56,Maize,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,183.3,
131,Malaysia,56,Maize,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,166.4,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,841.8,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,904.5,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,756.2,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,1024.2,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,1265.6,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,959.2,
131,Malaysia,571,"Mangoes, mangosteens, guavas",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,1486.9,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,199.1,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,153.9,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,158.6,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,117.5,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,143.2,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,140.9,
131,Malaysia,254,Oil palm fruit,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,116.0,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,971.3,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,952.1,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,960.9,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,857.8,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,771.4,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,829.0,
131,Malaysia,430,Okra,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,817.8,
131,Malaysia,490,Oranges,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,906.5,
131,Malaysia,490,Oranges,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,1031.4,
131,Malaysia,490,Oranges,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,198.6,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,323.8,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,365.0,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,381.9,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,345.7,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,337.5,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,317.4,
131,Malaysia,600,Papayas,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,359.3,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,5293.0,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,5289.9,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,6879.6,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,7177.3,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,6364.1,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,3784.5,
131,Malaysia,687,Pepper (piper spp.),5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,2550.6,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,356.1,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,380.8,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,359.0,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,307.3,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,313.4,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,337.2,
131,Malaysia,574,Pineapples,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,347.0,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,323.8,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,333.2,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,336.1,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,345.7,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,313.4,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,306.9,
131,Malaysia,394,"Pumpkins, squash and gourds",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,334.6,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,242.8,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,238.0,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,366.7,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,307.3,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,289.3,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,279.0,
131,Malaysia,27,"Rice, paddy",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,297.4,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,3083.7,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,2458.6,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,1690.1,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,1336.3,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,1370.3,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,1636.4,
131,Malaysia,836,"Rubber, natural",5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,1347.1,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,437.1,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,444.3,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,458.3,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,422.5,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,421.9,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,387.2,
131,Malaysia,373,Spinach,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,446.1,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,291.4,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,253.9,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,290.3,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,217.6,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,204.9,
131,Malaysia,156,Sugar cane,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,218.6,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,356.1,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,365.0,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,397.2,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,371.3,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,301.3,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,391.8,
131,Malaysia,122,Sweet potatoes,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,396.5,
131,Malaysia,826,"Tobacco, unmanufactured",5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,4739.7,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,550.4,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,714.1,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,718.0,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,601.7,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,482.1,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,538.3,
131,Malaysia,388,Tomatoes,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,631.9,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,307.6,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,349.1,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,305.5,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,268.9,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,277.2,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,300.0,
131,Malaysia,567,Watermelons,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,297.4,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,4229.8,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,4579.4,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,4609.1,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,3952.7,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,3869.3,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,2705.7,
11,Austria,339,Oilseeds nes,5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,2948.6,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,218.55,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,214.2,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,275.0,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,236.85000000000002,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,289.3,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,279.0,
11,Austria,1817,Cereals (Rice Milled Eqv),5532,Producer Price (USD/tonne),2018,2018,7021,Annual value,USD,297.4,
