Date,KO1 Comdty  (L1),OR1 Comdty  (R1),RG1 Comdty  (R1)
10/29/2014,2260,160,172.1
10/30/2014,2275,158.3,171
10/31/2014,2295,158,170
11/3/2014,2315,154.4,168
11/4/2014,2285,151.6,165.4
11/5/2014,2228,,161.8
11/6/2014,2219,151.9,163.2
11/7/2014,2192,153.8,164.8
11/10/2014,2205,154.5,164
11/11/2014,2234,153.9,163.8
11/12/2014,2214,155.8,167
11/13/2014,2191,156.5,168
11/14/2014,2191,154.9,166
11/17/2014,2208,153,162.8
11/18/2014,2230,153.7,163.2
11/19/2014,2234,154.7,164
11/20/2014,2213,154.8,164.5
11/21/2014,2215,153.5,160.6
11/24/2014,2195,155.1,164.5
11/25/2014,2201,155.8,162.8
11/26/2014,2205,155.9,160.3
11/27/2014,2165,154.5,160
11/28/2014,2147,151.7,157
12/1/2014,2100,148,154.6
12/2/2014,2129,149.6,156
12/3/2014,2160,147.8,154
12/4/2014,2147,148.9,155
12/5/2014,2135,147.7,155.1
12/8/2014,2148,145.9,153
12/9/2014,2107,143.3,152
12/10/2014,2140,143.5,151.5
12/11/2014,2175,143.1,152.8
12/12/2014,2154,146,158.4
12/15/2014,2154,149.7,162.3
12/16/2014,2113,148.5,162.5
12/17/2014,2123,147.9,163.9
12/18/2014,2146,147.8,164.5
12/19/2014,2160,148.6,165.9
12/22/2014,2171,148,167
12/23/2014,2209,147.3,166
12/24/2014,2217,146.4,162
12/26/2014,2250,147.4,164.5
12/29/2014,2298,148,166.9
12/30/2014,2300,152.8,168.9
12/31/2014,2291,152.2,170
1/2/2015,2315,153.4,171
1/5/2015,2298,151.3,169.7
1/6/2015,2309,149.5,168
1/7/2015,2349,144.3,165
1/8/2015,2384,144.4,164.8
1/9/2015,2359,145.5,166
1/12/2015,2375,144.5,165
1/13/2015,2375,142,163
1/14/2015,2361,139.8,160
1/15/2015,2373,139.9,160.4
1/16/2015,2348,138.2,160
1/19/2015,2342,138,160.9
1/20/2015,2337,138.5,161.5
1/21/2015,2291,138.8,163.5
1/22/2015,2272,140.2,166
1/23/2015,2264,140.3,167.5
1/26/2015,2200,139.6,166
1/27/2015,2188,140.4,168.7
1/28/2015,2221,140.8,170
1/29/2015,2147,139.4,169
1/30/2015,2154,138.7,167.5
2/2/2015,,139.8,172.7
2/3/2015,,140.7,174.7
2/4/2015,2193,140.5,174.5
2/5/2015,2300,141,175.2
2/6/2015,2330,141.2,178.5
2/9/2015,2294,140.6,180.8
2/10/2015,2278,139.6,183.6
2/11/2015,2255,140.2,184
2/12/2015,2265,141,184
2/13/2015,2265,143.2,185.3
2/16/2015,2305,143.4,186.1
2/17/2015,2286,143.2,182.7
2/18/2015,2302,140.7,182
2/23/2015,2247,139.7,181.8
2/24/2015,2273,139.6,182.7
2/25/2015,2258,140.1,181
2/26/2015,2292,145,183.5
2/27/2015,2321,145.8,182
3/2/2015,2381,143.9,183.5
3/3/2015,2389,142.3,181.5
3/4/2015,2378,143.4,180.8
3/5/2015,2350,143.5,179
3/6/2015,2312,140.5,172.2
3/9/2015,2280,141.5,172.2
3/10/2015,2240,141.4,171.5
3/11/2015,2286,141.6,171
3/12/2015,2248,142.7,172
3/13/2015,2270,143.2,171.5
3/16/2015,2209,142.9,172.5
3/17/2015,2149,143.3,173
3/18/2015,2195,142.8,172.3
3/19/2015,2210,142.9,171.7
3/20/2015,2168,142.9,171.3
3/23/2015,2188,143.1,172
3/24/2015,2165,143.3,173
3/25/2015,2160,143.2,172.5
3/26/2015,2174,143.5,173.4
3/27/2015,2151,142.9,171.1
3/30/2015,2156,142.8,170.5
3/31/2015,2136,145,169.4
4/1/2015,2142,141.7,171.7
4/2/2015,2154,141.3,172
4/3/2015,2178,,
4/6/2015,2223,139.9,168.3
4/7/2015,2194,140,168.2
4/8/2015,2153,138.6,167.3
4/9/2015,2108,138.2,165
4/10/2015,2120,138.7,165.3
4/13/2015,2124,139.5,166.5
4/14/2015,2148,138.1,165.3
4/15/2015,2150,138.2,166
4/16/2015,2173,138.4,166.9
4/17/2015,2184,138.7,166.5
4/20/2015,2190,138,166.7
4/21/2015,2203,140.3,169.7
4/22/2015,2179,140.1,170
4/23/2015,2174,140.2,172
4/24/2015,2166,140.8,172.2
4/27/2015,2121,143.8,176.5
4/28/2015,2098,144.5,177.5
4/29/2015,2078,146.6,178.1
4/30/2015,2070,149,179
5/4/2015,,154.8,184.5
5/5/2015,2136,154.7,184.5
5/6/2015,2166,154.8,185.4
5/7/2015,2156,152.4,182
5/8/2015,2146,152.3,183.7
5/11/2015,2178,153.5,184
5/12/2015,2206,152.7,184.2
5/13/2015,2190,152.5,184.2
5/14/2015,2199,151.9,182
5/15/2015,2199,153,182.3
5/18/2015,2189,154.4,184.7
5/19/2015,2166,153.8,183.8
5/20/2015,2150,151.6,181.9
5/21/2015,2154,153.7,182
5/22/2015,2132,156,182
5/25/2015,2137,156.6,184.5
5/26/2015,2167,160,185.1
5/27/2015,2145,161.3,187
5/28/2015,2170,161.6,186
5/29/2015,2170,166,190
6/1/2015,2270,,
6/2/2015,2291,163.5,188.5
6/3/2015,2267,162.3,189.3
6/4/2015,2293,163.4,190.5
6/5/2015,2320,161.4,187.2
6/8/2015,2320,158.4,186.5
6/9/2015,2305,158.8,187
6/10/2015,2279,160.9,188
6/11/2015,2275,162.1,189
6/12/2015,2254,158.7,184.9
6/15/2015,2254,159.1,183.5
6/16/2015,2289,159.8,183.1
6/17/2015,2288,159.2,182.8
6/18/2015,2230,157.4,181.3
6/19/2015,2232,158,182
6/22/2015,2205,158.5,182
6/23/2015,2210,159.4,181.8
6/24/2015,2258,159.5,181.9
6/25/2015,2259,157.7,178.2
6/26/2015,2278,156.6,175.2
6/29/2015,2278,154.8,173
6/30/2015,2224,151,166
7/1/2015,2262,151.5,170
7/2/2015,2259,152.1,171
7/3/2015,2263,152.3,170.7
7/6/2015,2228,149.2,167
7/7/2015,2200,147.4,166.7
7/8/2015,2144,140.2,160
7/9/2015,2182,144.6,164
7/10/2015,2190,144.9,164
7/13/2015,2192,144.3,163.5
7/14/2015,2198,143.5,162
7/15/2015,2198,144.6,163
7/16/2015,2189,146.6,165.5
7/20/2015,2187,147.6,166
7/21/2015,2217,149,168
7/22/2015,2205,147.4,166.5
7/23/2015,2190,147.5,165
7/24/2015,2180,142.4,162.5
7/27/2015,2145,140.1,158
7/28/2015,2138,140.1,158.5
7/29/2015,2119,140.9,158.5
7/30/2015,2124,142.1,158.5
7/31/2015,2120,140,158
8/3/2015,2056,137.4,156
8/4/2015,2055,137.7,155.8
8/5/2015,2033,137.5,155.8
8/6/2015,2035,136.7,155
8/7/2015,2031,,
8/10/2015,2010,,
8/11/2015,2017,135.7,151.3
8/12/2015,1970,134.6,149.2
8/13/2015,1986,135.2,148.1
8/14/2015,1986,134.4,145.7
8/17/2015,1999,132.1,142.3
8/18/2015,1998,129,138
8/19/2015,1971,130.6,140
8/20/2015,1936,129.8,139
8/21/2015,1913,131.7,140.1
8/24/2015,1844,126.1,132.7
8/25/2015,1829,126.9,131.8
8/26/2015,1800,125.6,130.2
8/27/2015,1868,129.1,129.3
8/28/2015,1928,131,129.6
8/31/2015,,126.8,129.1
9/1/2015,1945,125.2,132.3
9/2/2015,1923,123.7,130
9/3/2015,1959,122.2,128.6
9/4/2015,1955,121.9,126.7
9/7/2015,1955,123.6,130.4
9/8/2015,1994,125,130.9
9/9/2015,2012,125.9,132.9
9/10/2015,2056,126.2,133
9/11/2015,2032,,
9/14/2015,2081,126,133.4
9/15/2015,2050,124.3,132
9/16/2015,,125.5,132.8
9/17/2015,2054,125.8,133.9
9/18/2015,2034,125.3,133
9/21/2015,2086,125,131.2
9/22/2015,2116,124.9,131
9/23/2015,2157,124.5,130.5
9/25/2015,2259,125.8,132
9/28/2015,2323,125.5,130.8
9/29/2015,2395,124.1,128.3
9/30/2015,2306,124,130.4
10/1/2015,2344,124.6,133.5
10/2/2015,2319,123.2,132
10/5/2015,2365,124.5,132.2
10/6/2015,2320,125.4,132.6
10/7/2015,2271,125.5,132
10/8/2015,2223,124.5,130.5
10/9/2015,2168,126.9,134
10/12/2015,2209,128.2,133.6
10/13/2015,2269,128,134
10/14/2015,,127.5,133.4
10/15/2015,2269,127.9,134.2
10/16/2015,2235,127.4,133.3
10/19/2015,2210,125.2,130.2
10/20/2015,2262,125.5,129.4
10/21/2015,2294,124,127.7
10/22/2015,2296,124.8,127.7
10/23/2015,2251,125.8,128.7
10/26/2015,2208,123.4,126.1
10/27/2015,2243,122.7,123
10/28/2015,2251,124.4,124.5
10/29/2015,2253,124.6,125.2
10/30/2015,2238,120.7,124
11/2/2015,2230,119.4,123.2
11/3/2015,2208,118.1,123
11/4/2015,2245,117.8,122.3
11/5/2015,2224,117.2,121.4
11/6/2015,2188,117.6,122.3
11/9/2015,2235,117.1,120.9
11/11/2015,2181,118.9,122.5
11/12/2015,2180,119.3,122.9
11/13/2015,2100,119.9,124.3
11/16/2015,2132,117.3,122.1
11/17/2015,2132,117.9,121
11/18/2015,2168,117.4,121.2
11/19/2015,2140,117.1,122
11/20/2015,2159,116.8,122
11/23/2015,2143,114.3,120
11/24/2015,2128,114.5,121.5
11/25/2015,2093,115,123
11/26/2015,2135,115.5,123.7
11/27/2015,2159,116.2,123.5
11/30/2015,2140,115.6,121.7
12/1/2015,2145,116.5,125.5
12/2/2015,2140,117.3,128.5
12/3/2015,2186,117.2,127.5
12/4/2015,2189,116.7,127
12/7/2015,2254,118.3,129.9
12/8/2015,2200,117.3,129.4
12/9/2015,2180,117.3,129
12/10/2015,2160,116.7,127.9
12/11/2015,2222,116.8,127.9
12/14/2015,2186,116.1,126
12/15/2015,2186,115.8,124.1
12/16/2015,2224,115.7,123.2
12/17/2015,2214,116,123.2
12/18/2015,2236,116.1,123
12/21/2015,2272,118.8,124
12/22/2015,2290,118.9,123.8
12/23/2015,2294,118.5,123
12/24/2015,,119.2,123
12/28/2015,2248,117,119.6
12/29/2015,2288,116.3,117.1
12/30/2015,2292,117.8,117.5
12/31/2015,2398,,
1/4/2016,2290,110.8,115.5
1/5/2016,2275,110.5,115
1/6/2016,2268,109.2,114.4
1/7/2016,2253,107,111.7
1/8/2016,2263,108.1,112.5
1/11/2016,2239,107.4,113
1/12/2016,2224,107.8,116.5
1/13/2016,2260,108,123.3
1/14/2016,2262,107.9,128.9
1/15/2016,2200,107.4,128.5
1/18/2016,2351,107.6,128.5
1/19/2016,2372,108.7,130
1/20/2016,2358,109,127.3
1/21/2016,2349,108.8,127
1/22/2016,2382,110.2,127.3
1/25/2016,,110,127.8
1/26/2016,2387,107.8,123.5
1/27/2016,2412,107.8,124.3
1/28/2016,2387,104.2,122
1/29/2016,2349,107.4,122.5
2/1/2016,,108.7,123.6
2/2/2016,2432,108.6,124.5
2/3/2016,2454,108.1,121.8
2/4/2016,2453,109.3,124.4
2/5/2016,2497,108.7,123
2/10/2016,2487,106.3,121.8
2/11/2016,2490,104.9,121.9
2/12/2016,2548,106,124.3
2/15/2016,2510,108.7,128
2/16/2016,2526,109.2,128
2/17/2016,2545,107.8,126
2/18/2016,2522,108.2,125.9
2/19/2016,2522,108.7,127
2/22/2016,2502,110.4,128.4
2/23/2016,2483,110.9,129
2/24/2016,2461,110.5,128
2/25/2016,2471,110.9,128.9
2/26/2016,2462,110.1,128.9
2/29/2016,2479,112,125.9
3/1/2016,2474,114.7,130.8
3/2/2016,2448,118.4,132.9
3/3/2016,2453,123.1,137.5
3/4/2016,2464,132.2,148
3/7/2016,2495,134.6,150
3/8/2016,2491,131.3,145.6
3/9/2016,2518,127.8,140.8
3/10/2016,2489,124.5,139
3/11/2016,2549,124.9,140
3/14/2016,2529,124.1,139.9
3/15/2016,2540,123,138
3/16/2016,2590,125.6,141
3/17/2016,2615,130.2,146.3
3/18/2016,2633,130.5,148.5
3/21/2016,2634,132.5,150
3/22/2016,2652,133.4,151.5
3/23/2016,2639,131.8,151
3/24/2016,2616,129.9,149.5
3/25/2016,2660,,
3/28/2016,2705,131.1,152
3/29/2016,2731,130,151
3/30/2016,2702,130.1,149.8
3/31/2016,2690,132.7,150.5
4/1/2016,2717,133.3,154.2
4/4/2016,2739,136.4,156.8
4/5/2016,2717,139.3,159.9
4/6/2016,2681,138.7,161.8
4/7/2016,2679,139.3,163
4/8/2016,2647,140.4,163.5
4/11/2016,2633,148.1,170.7
4/12/2016,2610,151,173
4/13/2016,2628,150.4,172
4/14/2016,2626,150.5,171.5
4/15/2016,2638,149.4,169.3
4/18/2016,2656,149.1,170.6
4/19/2016,2672,150.2,174
4/20/2016,2692,154.7,178.5
4/21/2016,2712,158.8,182.5
4/22/2016,2677,155.9,179.4
4/25/2016,2635,157.1,180.3
4/26/2016,2654,155.9,181.9
4/27/2016,2615,155.8,185
4/28/2016,2584,152.7,182
4/29/2016,2572,148.5,183
5/3/2016,2520,149.1,180.4
5/4/2016,2600,147.1,180.9
5/5/2016,2615,145.6,180
5/6/2016,2640,147.3,180.3
5/9/2016,2675,145.6,179.5
5/10/2016,2670,146.3,181.5
5/11/2016,2690,146.8,182
5/12/2016,2675,146.2,181.5
5/13/2016,2635,141.7,177.2
5/16/2016,2626,139.5,174
5/17/2016,2632,139.9,174.5
5/18/2016,2591,135.3,172
5/19/2016,2552,129.5,162.9
5/20/2016,2557,129.4,158.6
5/23/2016,2519,123.4,149
5/24/2016,2540,127,150.3
5/25/2016,2574,125.8,148.6
5/26/2016,2618,127.7,149
5/27/2016,2587,126.9,148.9
5/30/2016,2621,126.9,151.9
5/31/2016,2635,126,151.8
6/1/2016,2624,123.9,151
6/2/2016,2660,125.9,151
6/3/2016,2680,127,150.3
6/6/2016,2671,129.1,152.5
6/7/2016,2640,127.9,152.8
6/8/2016,2632,127.1,152.1
6/9/2016,2635,124,149
6/10/2016,2626,123.8,144
6/13/2016,2571,125.1,147
6/14/2016,2520,122.5,145.2
6/15/2016,2399,122.9,146
6/16/2016,2441,123.9,148
6/17/2016,2485,127.9,153
6/20/2016,2443,129.7,157.3
6/21/2016,2431,127.3,158.9
6/22/2016,,130,170
6/23/2016,2466,131.1,170.2
6/24/2016,2470,128.3,169.8
6/27/2016,2467,130.5,174
6/28/2016,2440,134.4,177.3
6/29/2016,2383,134.4,179
6/30/2016,2400,135.9,179
7/1/2016,2406,129.3,164.7
7/4/2016,2451,135.3,168
7/5/2016,2409,131.6,162.5
7/7/2016,,130.2,159.5
7/8/2016,2320,126.5,156.5
7/11/2016,2320,128.4,160.5
7/12/2016,2270,130,166.7
7/13/2016,2298,130.4,171.5
7/14/2016,2280,131.1,179
7/15/2016,2298,130.8,183
7/18/2016,2319,130.1,183.9
7/19/2016,2351,130.8,186.3
7/20/2016,2387,132.7,192
7/21/2016,2394,134.1,198.8
7/22/2016,2362,132.7,194.1
7/25/2016,2322,131.3,189.6
7/26/2016,2352,130.5,181
7/27/2016,2356,131.5,181.2
7/28/2016,2333,132.2,182.8
7/29/2016,2374,129.8,188
8/1/2016,2375,128.8,170.4
8/2/2016,2393,129.6,172.3
8/3/2016,2479,129.6,172.1
8/4/2016,2509,129.1,166.1
8/5/2016,2505,129.5,158.5
8/8/2016,2550,131,162.5
8/9/2016,2561,,
8/10/2016,2630,130.3,164.7
8/11/2016,2612,131.3,164.8
8/12/2016,2620,132.9,169.3
8/15/2016,2620,133.3,169.8
8/16/2016,2741,132.9,169
8/17/2016,2888,132.6,168.7
8/18/2016,2838,131.8,169.2
8/19/2016,2852,131.9,171.5
8/22/2016,2820,129.4,166.2
8/23/2016,2833,127.6,160.9
8/24/2016,2841,126.9,159.9
8/25/2016,2804,126.2,159
8/26/2016,2800,126.3,161
8/29/2016,2790,126.6,161.4
8/30/2016,2789,126.1,162.3
8/31/2016,,127.1,157
9/1/2016,2753,129.5,158.3
9/2/2016,2829,130.1,159.8
9/5/2016,2890,130.9,159
9/6/2016,2880,129,157
9/7/2016,2867,130.7,159.6
9/8/2016,2870,131.4,158.5
9/9/2016,2898,131.6,159
9/13/2016,2852,132.1,158.5
9/14/2016,2833,132.8,160.7
9/15/2016,2833,132.8,160
9/16/2016,,133.6,159
9/19/2016,2831,137.4,160.5
9/20/2016,2887,142.7,163.1
9/21/2016,2873,141.2,162.2
9/22/2016,2909,144.4,165.9
9/23/2016,2863,143.3,166
9/26/2016,2900,139.6,162.5
9/27/2016,2849,135.8,160
9/28/2016,2747,135,160
9/29/2016,2761,135,160
9/30/2016,2775,139.1,160
10/3/2016,,136.1,161
10/4/2016,2743,139.8,162.5
10/5/2016,2700,143,164.3
10/6/2016,2690,144.4,167
10/7/2016,2650,146.3,169.5
10/10/2016,2585,150.3,170.5
10/11/2016,2650,151.7,166.2
10/12/2016,2670,148.6,165.5
10/13/2016,2630,148,164
10/14/2016,2630,152.7,166
10/17/2016,2781,151.6,164
10/18/2016,2723,151,166.2
10/19/2016,2750,146.1,163
10/20/2016,2755,144.4,165.7
10/21/2016,2759,145.4,163.3
10/24/2016,2821,146.8,164.9
10/25/2016,2760,146.5,168
10/26/2016,2792,146.1,169.9
10/27/2016,2790,149.2,172.5
10/28/2016,2790,149.1,172.5
10/31/2016,2764,149.3,173.5
11/1/2016,2740,148.3,173.4
11/2/2016,2780,146.1,170.8
11/3/2016,2791,147.8,170.1
11/4/2016,2752,148.8,173.9
11/7/2016,2803,153.9,176.1
11/8/2016,2854,156.6,178.6
11/9/2016,2857,158.5,179.1
11/10/2016,2892,167.2,187.4
11/11/2016,2975,170.6,189.5
11/14/2016,2856,166,182
11/15/2016,2856,166.4,184.5
11/16/2016,2871,171,190.5
11/17/2016,2883,171,190.5
11/18/2016,2872,168.9,190.5
11/21/2016,2923,173.7,197
11/22/2016,2935,174,197
11/23/2016,2959,174,197
11/24/2016,3010,176.2,201
11/25/2016,3042,171.6,200
11/28/2016,3084,174.8,204
11/29/2016,3060,172.9,202.8
11/30/2016,3082,168,200
12/1/2016,3115,171.3,203
12/2/2016,3120,169.1,203
12/5/2016,3225,171.4,209.3
12/6/2016,3268,172.5,212
12/7/2016,3200,177.4,216
12/8/2016,3168,177.3,214.4
12/9/2016,3123,182.1,217.5
12/12/2016,,189,222
12/13/2016,3160,205.6,234.3
12/14/2016,3189,214.9,240
12/15/2016,3189,203.8,237.2
12/16/2016,3188,197.1,233.6
12/19/2016,3166,193.4,227.5
12/20/2016,3123,194.2,230
12/21/2016,3154,193.4,229.6
12/22/2016,3125,190.5,227.3
12/23/2016,3150,190.3,227.3
12/27/2016,3218,186.5,226
12/28/2016,3213,187.6,219
12/29/2016,3196,192.3,223
12/30/2016,3218,193.5,224.5
1/3/2017,3250,201.1,230
1/4/2017,3234,201.5,236
1/5/2017,3200,196.2,235.8
1/6/2017,3200,193,235
1/9/2017,3231,202.6,242.3
1/10/2017,3220,208.7,251
1/11/2017,3261,211.2,259.4
1/12/2017,3255,212.2,259.5
1/13/2017,3280,208.7,256
1/16/2017,3207,222.1,264.6
1/17/2017,3255,218.8,261.9
1/18/2017,3243,220,262.3
1/19/2017,3241,216.8,259.2
1/20/2017,3234,207.7,252
1/23/2017,3231,209.3,252
1/24/2017,3278,214.6,260
1/25/2017,3256,220.9,270.7
1/26/2017,3238,223.7,282
1/27/2017,3243,,
1/31/2017,3230,227.5,285
2/1/2017,,229,285.5
2/2/2017,3258,229,285.6
2/3/2017,3250,222.4,275
2/6/2017,3262,218.6,275.5
2/7/2017,3278,221.5,276.9
2/8/2017,3301,221.6,279.9
2/9/2017,,218.9,277.8
2/10/2017,3268,223.8,283
2/13/2017,3250,230.2,292.8
2/14/2017,3282,231.6,289.8
2/15/2017,3306,227.9,281.5
2/16/2017,3151,224.5,278.5
2/17/2017,3094,220.5,273.5
2/20/2017,3073,217,269.4
2/21/2017,3024,216.4,263.7
2/22/2017,3022,215.9,257.4
2/23/2017,2945,207.5,252.8
2/24/2017,2977,208.4,244.6
2/27/2017,2920,207.5,241.7
2/28/2017,2898,207.8,238
3/1/2017,2951,210,243.3
3/2/2017,2979,211.3,244.2
3/3/2017,3000,215.3,249.7
3/6/2017,3010,208.9,247
3/7/2017,2974,208,242.4
3/8/2017,3000,199.1,234
3/9/2017,2990,197.6,236
3/10/2017,2990,199.6,237.1
3/13/2017,2950,199.9,238.6
3/14/2017,2985,196.7,232.3
3/15/2017,3020,198.9,237.8
3/16/2017,2963,200.7,242
3/17/2017,2966,204,246.4
3/20/2017,2939,202.3,239.5
3/21/2017,2968,199.1,239
3/22/2017,2975,190.6,230.3
3/23/2017,2933,193.4,234.5
3/24/2017,2895,189.7,233.4
3/27/2017,2843,181.5,224.4
3/28/2017,2859,180.8,227
3/29/2017,2874,180.8,231
3/30/2017,2831,175.9,227.1
3/31/2017,2833,191.8,226.4
4/3/2017,2862,182.8,230.5
4/4/2017,2861,179.9,230.4
4/5/2017,2930,184.8,236.4
4/6/2017,2909,181.2,236
4/7/2017,2885,173.8,229.5
4/10/2017,2832,166.7,227
4/11/2017,2838,164.8,224.2
4/12/2017,2780,160.3,219.1
4/13/2017,2769,161.8,221.5
4/14/2017,2750,,
4/17/2017,2636,160.3,219.3
4/18/2017,2597,151.7,212.5
4/19/2017,2584,151.8,212
4/20/2017,2639,156,214
4/21/2017,2669,156.4,218
4/24/2017,,159.2,222.4
4/25/2017,2634,156.9,222.5
4/26/2017,2664,155.4,224
4/27/2017,2660,157,221.7
4/28/2017,2694,162,220.1
5/2/2017,2730,160.2,223.4
5/3/2017,2705,160.3,224
5/4/2017,2730,152.4,214.7
5/5/2017,2775,148.9,212
5/8/2017,2800,147,209.3
5/9/2017,2850,148,210.4
5/11/2017,2895,150,212
5/12/2017,2860,148.6,211.5
5/15/2017,2920,151.5,216
5/16/2017,2834,156.9,225.2
5/17/2017,2886,155.7,223
5/18/2017,2871,150.4,220.8
5/19/2017,2885,153.3,222
5/22/2017,2900,156.2,226.5
5/23/2017,2877,155.7,229.2
5/24/2017,2861,152.5,222
5/25/2017,2876,154,223.2
5/26/2017,2840,153,219.2
5/29/2017,2787,154,211.2
5/30/2017,2757,153.1,208.6
5/31/2017,2749,152.4,201
6/1/2017,2759,146.8,195.8
6/2/2017,2730,144.1,183.8
6/5/2017,2743,139.8,173.9
6/6/2017,2738,135.3,169
6/7/2017,2707,139.5,170.5
6/8/2017,2670,139.6,170.7
6/9/2017,2680,140.6,170.7
6/12/2017,,142.4,172.6
6/13/2017,2649,138.4,172.6
6/14/2017,2675,144.9,180.2
6/15/2017,2650,146.5,186.9
6/16/2017,2656,145.8,185.6
6/19/2017,2640,141.2,178.9
6/20/2017,2603,139.2,171.5
6/21/2017,2587,139.6,171.4
6/22/2017,2597,137.3,169
6/23/2017,2589,140.2,169
6/27/2017,,142.8,171
6/28/2017,2585,144.4,172.5
6/29/2017,2617,151.5,179.5
6/30/2017,2596,150.2,177.9
7/3/2017,2642,156.1,175.5
7/4/2017,2650,148.6,168.3
7/5/2017,2670,148.6,167.5
7/6/2017,2688,147.6,168.9
7/7/2017,2668,146.7,168.5
7/10/2017,2705,145.8,168.4
7/11/2017,2687,147.1,168.2
7/12/2017,2679,148.4,171.4
7/13/2017,2661,149.2,172.8
7/14/2017,2620,150.2,173.7
7/17/2017,2617,151.2,177.3
7/18/2017,2582,148.7,173.4
7/19/2017,2580,156.7,184.3
7/20/2017,2621,157.3,184.5
7/21/2017,2612,155.7,182.5
7/24/2017,2589,152.1,178.7
7/25/2017,2646,153.4,180
7/26/2017,2652,149.6,180.4
7/27/2017,2692,149.1,180.9
7/28/2017,2666,141.6,173.7
7/31/2017,2672,142.4,174.9
8/1/2017,2659,146.9,175.4
8/2/2017,2630,146.8,173.8
8/3/2017,2588,147,174.8
8/4/2017,2590,148.7,178
8/7/2017,2581,151.5,182.4
8/8/2017,2624,151.2,180.7
8/9/2017,2628,,
8/10/2017,2663,153.3,183.2
8/11/2017,2683,150.6,181
8/14/2017,2668,150.6,182
8/15/2017,2628,152.8,182.6
8/16/2017,2622,153.5,183.1
8/17/2017,2649,153.9,186.3
8/18/2017,2675,155.2,187.9
8/21/2017,2703,154.7,186.7
8/22/2017,2729,156.3,188.2
8/23/2017,2723,153.6,186.5
8/24/2017,2750,153.5,186.1
8/25/2017,2733,155.4,187.7
8/28/2017,2723,154.8,187.3
8/29/2017,2680,154.5,186
8/30/2017,2680,154,185.9
8/31/2017,,155.5,185
9/4/2017,,163.3,193.9
9/5/2017,2740,169.1,197.4
9/6/2017,2720,170.7,199.7
9/7/2017,2768,170.6,198
