Date,maturity,value
1/15/2020,6 Mo,1.58
1/16/2020,6 Mo,1.56
1/17/2020,6 Mo,1.57
1/21/2020,6 Mo,1.57
1/22/2020,6 Mo,1.56
1/23/2020,6 Mo,1.56
1/24/2020,6 Mo,1.55
1/27/2020,6 Mo,1.57
1/28/2020,6 Mo,1.58
1/29/2020,6 Mo,1.57
1/30/2020,6 Mo,1.57
1/31/2020,6 Mo,1.54
2/3/2020,6 Mo,1.56
2/4/2020,6 Mo,1.57
2/5/2020,6 Mo,1.57
2/6/2020,6 Mo,1.58
2/7/2020,6 Mo,1.57
2/10/2020,6 Mo,1.58
2/11/2020,6 Mo,1.55
2/12/2020,6 Mo,1.56
2/13/2020,6 Mo,1.56
2/14/2020,6 Mo,1.56
2/18/2020,6 Mo,1.56
2/19/2020,6 Mo,1.56
2/20/2020,6 Mo,1.55
2/21/2020,6 Mo,1.53
2/24/2020,6 Mo,1.49
2/25/2020,6 Mo,1.47
2/26/2020,6 Mo,1.42
2/27/2020,6 Mo,1.33
2/28/2020,6 Mo,1.11
3/2/2020,6 Mo,0.95
3/3/2020,6 Mo,0.83
3/4/2020,6 Mo,0.68
3/5/2020,6 Mo,0.53
3/6/2020,6 Mo,0.41
3/9/2020,6 Mo,0.27
3/10/2020,6 Mo,0.43
3/11/2020,6 Mo,0.4
3/12/2020,6 Mo,0.37
3/13/2020,6 Mo,0.38
3/16/2020,6 Mo,0.29
3/17/2020,6 Mo,0.24
3/18/2020,6 Mo,0.08
3/19/2020,6 Mo,0.06
3/20/2020,6 Mo,0.05
3/23/2020,6 Mo,0.08
3/24/2020,6 Mo,0.09
3/25/2020,6 Mo,0.07
3/26/2020,6 Mo,0.04
3/27/2020,6 Mo,0.02
3/30/2020,6 Mo,0.12
3/31/2020,6 Mo,0.15
4/1/2020,6 Mo,0.14
4/2/2020,6 Mo,0.15
4/3/2020,6 Mo,0.15
4/6/2020,6 Mo,0.17
4/7/2020,6 Mo,0.2
4/8/2020,6 Mo,0.24
4/9/2020,6 Mo,0.24
4/13/2020,6 Mo,0.27
4/14/2020,6 Mo,0.24
4/15/2020,6 Mo,0.19
4/16/2020,6 Mo,0.18
4/17/2020,6 Mo,0.16
4/20/2020,6 Mo,0.15
4/21/2020,6 Mo,0.14
4/22/2020,6 Mo,0.14
4/23/2020,6 Mo,0.14
4/24/2020,6 Mo,0.14
4/27/2020,6 Mo,0.15
4/28/2020,6 Mo,0.13
4/29/2020,6 Mo,0.12
4/30/2020,6 Mo,0.11
5/1/2020,6 Mo,0.12
5/4/2020,6 Mo,0.14
5/5/2020,6 Mo,0.15
5/6/2020,6 Mo,0.16
5/7/2020,6 Mo,0.14
5/8/2020,6 Mo,0.15
5/11/2020,6 Mo,0.16
5/12/2020,6 Mo,0.16
5/13/2020,6 Mo,0.15
5/14/2020,6 Mo,0.15
5/15/2020,6 Mo,0.15
5/18/2020,6 Mo,0.15
5/19/2020,6 Mo,0.15
5/20/2020,6 Mo,0.14
5/21/2020,6 Mo,0.14
5/22/2020,6 Mo,0.16
5/26/2020,6 Mo,0.17
5/27/2020,6 Mo,0.17
5/28/2020,6 Mo,0.18
5/29/2020,6 Mo,0.18
6/1/2020,6 Mo,0.18
6/2/2020,6 Mo,0.18
6/3/2020,6 Mo,0.19
6/4/2020,6 Mo,0.18
6/5/2020,6 Mo,0.18
6/8/2020,6 Mo,0.19
6/9/2020,6 Mo,0.19
6/10/2020,6 Mo,0.19
6/11/2020,6 Mo,0.18
6/12/2020,6 Mo,0.18
6/15/2020,6 Mo,0.19
6/16/2020,6 Mo,0.19
6/17/2020,6 Mo,0.18
6/18/2020,6 Mo,0.17
6/19/2020,6 Mo,0.17
6/22/2020,6 Mo,0.18
6/23/2020,6 Mo,0.17
6/24/2020,6 Mo,0.17
6/25/2020,6 Mo,0.17
6/26/2020,6 Mo,0.17
6/29/2020,6 Mo,0.18
6/30/2020,6 Mo,0.18
7/1/2020,6 Mo,0.17
7/2/2020,6 Mo,0.16
7/6/2020,6 Mo,0.16
7/7/2020,6 Mo,0.17
7/8/2020,6 Mo,0.17
7/9/2020,6 Mo,0.16
7/10/2020,6 Mo,0.15
7/13/2020,6 Mo,0.15
7/14/2020,6 Mo,0.14
7/15/2020,6 Mo,0.15
7/16/2020,6 Mo,0.13
7/17/2020,6 Mo,0.13
7/20/2020,6 Mo,0.14
7/21/2020,6 Mo,0.13
7/22/2020,6 Mo,0.14
7/23/2020,6 Mo,0.13
7/24/2020,6 Mo,0.14
7/27/2020,6 Mo,0.14
7/28/2020,6 Mo,0.12
7/29/2020,6 Mo,0.12
7/30/2020,6 Mo,0.11
7/31/2020,6 Mo,0.1
8/3/2020,6 Mo,0.11
8/4/2020,6 Mo,0.11
8/5/2020,6 Mo,0.12
8/6/2020,6 Mo,0.11
8/7/2020,6 Mo,0.12
8/10/2020,6 Mo,0.13
8/11/2020,6 Mo,0.12
8/12/2020,6 Mo,0.12
8/13/2020,6 Mo,0.12
8/14/2020,6 Mo,0.12
8/17/2020,6 Mo,0.12
8/18/2020,6 Mo,0.13
8/19/2020,6 Mo,0.12
8/20/2020,6 Mo,0.13
8/21/2020,6 Mo,0.12
8/24/2020,6 Mo,0.12
8/25/2020,6 Mo,0.12
8/26/2020,6 Mo,0.12
8/27/2020,6 Mo,0.11
8/28/2020,6 Mo,0.11
8/31/2020,6 Mo,0.13
9/1/2020,6 Mo,0.13
9/2/2020,6 Mo,0.12
9/3/2020,6 Mo,0.12
9/4/2020,6 Mo,0.12
9/8/2020,6 Mo,0.14
9/9/2020,6 Mo,0.14
9/10/2020,6 Mo,0.12
9/11/2020,6 Mo,0.12
9/14/2020,6 Mo,0.13
9/15/2020,6 Mo,0.12
9/16/2020,6 Mo,0.12
9/17/2020,6 Mo,0.11
9/18/2020,6 Mo,0.12
9/21/2020,6 Mo,0.11
9/22/2020,6 Mo,0.11
9/23/2020,6 Mo,0.11
9/24/2020,6 Mo,0.11
9/25/2020,6 Mo,0.11
9/28/2020,6 Mo,0.11
9/29/2020,6 Mo,0.11
9/30/2020,6 Mo,0.11
10/1/2020,6 Mo,0.1
10/2/2020,6 Mo,0.11
10/5/2020,6 Mo,0.11
10/6/2020,6 Mo,0.11
10/7/2020,6 Mo,0.12
10/8/2020,6 Mo,0.12
10/9/2020,6 Mo,0.12
10/13/2020,6 Mo,0.12
10/14/2020,6 Mo,0.12
10/15/2020,6 Mo,0.12
10/16/2020,6 Mo,0.12
10/19/2020,6 Mo,0.11
10/20/2020,6 Mo,0.12
10/21/2020,6 Mo,0.12
10/22/2020,6 Mo,0.11
10/23/2020,6 Mo,0.11
10/26/2020,6 Mo,0.12
10/27/2020,6 Mo,0.11
10/28/2020,6 Mo,0.11
10/29/2020,6 Mo,0.1
10/30/2020,6 Mo,0.11
11/2/2020,6 Mo,0.11
11/3/2020,6 Mo,0.12
11/4/2020,6 Mo,0.1
11/5/2020,6 Mo,0.1
11/6/2020,6 Mo,0.11
11/9/2020,6 Mo,0.11
11/10/2020,6 Mo,0.11
11/12/2020,6 Mo,0.1
1/2/2020,1 Yr,1.56
1/3/2020,1 Yr,1.55
1/6/2020,1 Yr,1.54
1/7/2020,1 Yr,1.53
1/8/2020,1 Yr,1.55
1/9/2020,1 Yr,1.54
1/10/2020,1 Yr,1.53
1/13/2020,1 Yr,1.53
1/14/2020,1 Yr,1.53
1/15/2020,1 Yr,1.54
1/16/2020,1 Yr,1.54
1/17/2020,1 Yr,1.56
1/21/2020,1 Yr,1.54
1/22/2020,1 Yr,1.55
1/23/2020,1 Yr,1.55
1/24/2020,1 Yr,1.55
1/27/2020,1 Yr,1.53
1/28/2020,1 Yr,1.53
1/29/2020,1 Yr,1.51
1/30/2020,1 Yr,1.48
1/31/2020,1 Yr,1.45
2/3/2020,1 Yr,1.46
2/4/2020,1 Yr,1.48
2/5/2020,1 Yr,1.49
2/6/2020,1 Yr,1.51
2/7/2020,1 Yr,1.49
2/10/2020,1 Yr,1.45
2/11/2020,1 Yr,1.48
2/12/2020,1 Yr,1.49
2/13/2020,1 Yr,1.48
2/14/2020,1 Yr,1.49
2/18/2020,1 Yr,1.47
2/19/2020,1 Yr,1.47
2/20/2020,1 Yr,1.46
2/21/2020,1 Yr,1.43
2/24/2020,1 Yr,1.35
2/25/2020,1 Yr,1.3
2/26/2020,1 Yr,1.26
2/27/2020,1 Yr,1.18
2/28/2020,1 Yr,0.97
3/2/2020,1 Yr,0.89
3/3/2020,1 Yr,0.73
3/4/2020,1 Yr,0.59
3/5/2020,1 Yr,0.48
3/6/2020,1 Yr,0.39
3/9/2020,1 Yr,0.31
3/10/2020,1 Yr,0.43
3/11/2020,1 Yr,0.4
3/12/2020,1 Yr,0.39
3/13/2020,1 Yr,0.38
3/16/2020,1 Yr,0.29
3/17/2020,1 Yr,0.3
3/18/2020,1 Yr,0.21
3/19/2020,1 Yr,0.2
3/20/2020,1 Yr,0.15
3/23/2020,1 Yr,0.17
3/24/2020,1 Yr,0.25
3/25/2020,1 Yr,0.19
3/26/2020,1 Yr,0.13
3/27/2020,1 Yr,0.11
3/30/2020,1 Yr,0.14
3/31/2020,1 Yr,0.17
4/1/2020,1 Yr,0.16
4/2/2020,1 Yr,0.14
4/3/2020,1 Yr,0.15
4/6/2020,1 Yr,0.2
4/7/2020,1 Yr,0.2
4/8/2020,1 Yr,0.23
4/9/2020,1 Yr,0.25
4/13/2020,1 Yr,0.27
4/14/2020,1 Yr,0.25
4/15/2020,1 Yr,0.19
4/16/2020,1 Yr,0.17
4/17/2020,1 Yr,0.16
4/20/2020,1 Yr,0.15
4/21/2020,1 Yr,0.17
4/22/2020,1 Yr,0.16
4/23/2020,1 Yr,0.17
4/24/2020,1 Yr,0.18
4/27/2020,1 Yr,0.17
4/28/2020,1 Yr,0.16
4/29/2020,1 Yr,0.18
4/30/2020,1 Yr,0.16
5/1/2020,1 Yr,0.17
5/4/2020,1 Yr,0.16
5/5/2020,1 Yr,0.16
5/6/2020,1 Yr,0.16
5/7/2020,1 Yr,0.15
5/8/2020,1 Yr,0.15
5/11/2020,1 Yr,0.16
5/12/2020,1 Yr,0.16
5/13/2020,1 Yr,0.15
5/14/2020,1 Yr,0.15
5/15/2020,1 Yr,0.15
5/18/2020,1 Yr,0.17
5/19/2020,1 Yr,0.16
5/20/2020,1 Yr,0.16
5/21/2020,1 Yr,0.16
5/22/2020,1 Yr,0.17
5/26/2020,1 Yr,0.17
5/27/2020,1 Yr,0.18
5/28/2020,1 Yr,0.17
5/29/2020,1 Yr,0.17
6/1/2020,1 Yr,0.17
6/2/2020,1 Yr,0.17
6/3/2020,1 Yr,0.17
6/4/2020,1 Yr,0.17
6/5/2020,1 Yr,0.18
6/8/2020,1 Yr,0.19
6/9/2020,1 Yr,0.19
6/10/2020,1 Yr,0.18
6/11/2020,1 Yr,0.19
6/12/2020,1 Yr,0.18
6/15/2020,1 Yr,0.17
6/16/2020,1 Yr,0.18
6/17/2020,1 Yr,0.19
6/18/2020,1 Yr,0.19
6/19/2020,1 Yr,0.18
6/22/2020,1 Yr,0.17
6/23/2020,1 Yr,0.18
6/24/2020,1 Yr,0.17
6/25/2020,1 Yr,0.17
6/26/2020,1 Yr,0.17
6/29/2020,1 Yr,0.16
6/30/2020,1 Yr,0.16
7/1/2020,1 Yr,0.16
7/2/2020,1 Yr,0.16
7/6/2020,1 Yr,0.16
7/7/2020,1 Yr,0.15
7/8/2020,1 Yr,0.15
7/9/2020,1 Yr,0.15
7/10/2020,1 Yr,0.15
7/13/2020,1 Yr,0.16
7/14/2020,1 Yr,0.17
7/15/2020,1 Yr,0.15
7/16/2020,1 Yr,0.14
7/17/2020,1 Yr,0.14
7/20/2020,1 Yr,0.14
7/21/2020,1 Yr,0.15
7/22/2020,1 Yr,0.14
7/23/2020,1 Yr,0.14
7/24/2020,1 Yr,0.16
7/27/2020,1 Yr,0.14
7/28/2020,1 Yr,0.14
7/29/2020,1 Yr,0.13
7/30/2020,1 Yr,0.11
7/31/2020,1 Yr,0.11
8/3/2020,1 Yr,0.12
8/4/2020,1 Yr,0.14
8/5/2020,1 Yr,0.12
8/6/2020,1 Yr,0.14
8/7/2020,1 Yr,0.14
8/10/2020,1 Yr,0.13
8/11/2020,1 Yr,0.15
8/12/2020,1 Yr,0.13
8/13/2020,1 Yr,0.14
8/14/2020,1 Yr,0.13
8/17/2020,1 Yr,0.13
8/18/2020,1 Yr,0.13
8/19/2020,1 Yr,0.13
8/20/2020,1 Yr,0.12
8/21/2020,1 Yr,0.13
8/24/2020,1 Yr,0.14
8/25/2020,1 Yr,0.13
8/26/2020,1 Yr,0.12
8/27/2020,1 Yr,0.13
8/28/2020,1 Yr,0.12
8/31/2020,1 Yr,0.12
9/1/2020,1 Yr,0.12
9/2/2020,1 Yr,0.13
9/3/2020,1 Yr,0.12
9/4/2020,1 Yr,0.13
9/8/2020,1 Yr,0.15
9/9/2020,1 Yr,0.14
9/10/2020,1 Yr,0.15
9/11/2020,1 Yr,0.13
9/14/2020,1 Yr,0.14
9/15/2020,1 Yr,0.13
9/16/2020,1 Yr,0.12
9/17/2020,1 Yr,0.12
9/18/2020,1 Yr,0.13
9/21/2020,1 Yr,0.12
9/22/2020,1 Yr,0.12
9/23/2020,1 Yr,0.13
9/24/2020,1 Yr,0.12
9/25/2020,1 Yr,0.12
9/28/2020,1 Yr,0.12
9/29/2020,1 Yr,0.12
9/30/2020,1 Yr,0.12
10/1/2020,1 Yr,0.12
10/2/2020,1 Yr,0.12
10/5/2020,1 Yr,0.12
10/6/2020,1 Yr,0.14
10/7/2020,1 Yr,0.13
10/8/2020,1 Yr,0.13
10/9/2020,1 Yr,0.15
10/13/2020,1 Yr,0.13
10/14/2020,1 Yr,0.13
10/15/2020,1 Yr,0.12
10/16/2020,1 Yr,0.12
10/19/2020,1 Yr,0.13
10/20/2020,1 Yr,0.13
10/21/2020,1 Yr,0.13
10/22/2020,1 Yr,0.13
10/23/2020,1 Yr,0.12
10/26/2020,1 Yr,0.12
10/27/2020,1 Yr,0.12
10/28/2020,1 Yr,0.12
10/29/2020,1 Yr,0.12
10/30/2020,1 Yr,0.13
11/2/2020,1 Yr,0.13
11/3/2020,1 Yr,0.14
11/4/2020,1 Yr,0.12
11/5/2020,1 Yr,0.12
11/6/2020,1 Yr,0.12
11/9/2020,1 Yr,0.12
11/10/2020,1 Yr,0.12
11/12/2020,1 Yr,0.13
1/2/2020,2 Yr,1.58
1/3/2020,2 Yr,1.53
1/6/2020,2 Yr,1.54
1/7/2020,2 Yr,1.54
1/8/2020,2 Yr,1.58
1/9/2020,2 Yr,1.58
1/10/2020,2 Yr,1.56
1/13/2020,2 Yr,1.58
1/14/2020,2 Yr,1.58
1/15/2020,2 Yr,1.56
1/16/2020,2 Yr,1.58
1/17/2020,2 Yr,1.58
1/21/2020,2 Yr,1.53
1/22/2020,2 Yr,1.53
1/23/2020,2 Yr,1.51
1/24/2020,2 Yr,1.49
1/27/2020,2 Yr,1.44
1/28/2020,2 Yr,1.45
1/29/2020,2 Yr,1.42
1/30/2020,2 Yr,1.41
1/31/2020,2 Yr,1.33
2/3/2020,2 Yr,1.36
2/4/2020,2 Yr,1.41
2/5/2020,2 Yr,1.44
2/6/2020,2 Yr,1.44
2/7/2020,2 Yr,1.41
2/10/2020,2 Yr,1.37
2/11/2020,2 Yr,1.41
2/12/2020,2 Yr,1.44
2/13/2020,2 Yr,1.44
2/14/2020,2 Yr,1.42
2/18/2020,2 Yr,1.41
2/19/2020,2 Yr,1.42
2/20/2020,2 Yr,1.39
2/21/2020,2 Yr,1.34
2/24/2020,2 Yr,1.26
2/25/2020,2 Yr,1.2
2/26/2020,2 Yr,1.16
2/27/2020,2 Yr,1.11
2/28/2020,2 Yr,0.86
3/2/2020,2 Yr,0.84
3/3/2020,2 Yr,0.71
3/4/2020,2 Yr,0.67
3/5/2020,2 Yr,0.59
3/6/2020,2 Yr,0.49
3/9/2020,2 Yr,0.38
3/10/2020,2 Yr,0.5
3/11/2020,2 Yr,0.5
3/12/2020,2 Yr,0.5
3/13/2020,2 Yr,0.49
3/16/2020,2 Yr,0.36
3/17/2020,2 Yr,0.47
3/18/2020,2 Yr,0.54
3/19/2020,2 Yr,0.44
3/20/2020,2 Yr,0.37
3/23/2020,2 Yr,0.28
3/24/2020,2 Yr,0.38
3/25/2020,2 Yr,0.34
3/26/2020,2 Yr,0.3
3/27/2020,2 Yr,0.25
3/30/2020,2 Yr,0.23
3/31/2020,2 Yr,0.23
4/1/2020,2 Yr,0.23
4/2/2020,2 Yr,0.23
4/3/2020,2 Yr,0.23
4/6/2020,2 Yr,0.27
4/7/2020,2 Yr,0.28
4/8/2020,2 Yr,0.27
4/9/2020,2 Yr,0.23
4/13/2020,2 Yr,0.25
4/14/2020,2 Yr,0.23
4/15/2020,2 Yr,0.2
4/16/2020,2 Yr,0.2
4/17/2020,2 Yr,0.2
4/20/2020,2 Yr,0.2
4/21/2020,2 Yr,0.2
4/22/2020,2 Yr,0.22
4/23/2020,2 Yr,0.22
4/24/2020,2 Yr,0.22
4/27/2020,2 Yr,0.24
4/28/2020,2 Yr,0.2
4/29/2020,2 Yr,0.2
4/30/2020,2 Yr,0.2
5/1/2020,2 Yr,0.2
5/4/2020,2 Yr,0.19
5/5/2020,2 Yr,0.19
5/6/2020,2 Yr,0.17
5/7/2020,2 Yr,0.13
5/8/2020,2 Yr,0.16
5/11/2020,2 Yr,0.17
5/12/2020,2 Yr,0.17
5/13/2020,2 Yr,0.16
5/14/2020,2 Yr,0.16
5/15/2020,2 Yr,0.16
5/18/2020,2 Yr,0.18
5/19/2020,2 Yr,0.17
5/20/2020,2 Yr,0.16
5/21/2020,2 Yr,0.17
5/22/2020,2 Yr,0.17
5/26/2020,2 Yr,0.18
5/27/2020,2 Yr,0.19
5/28/2020,2 Yr,0.17
5/29/2020,2 Yr,0.16
6/1/2020,2 Yr,0.14
6/2/2020,2 Yr,0.17
6/3/2020,2 Yr,0.19
6/4/2020,2 Yr,0.19
6/5/2020,2 Yr,0.22
6/8/2020,2 Yr,0.22
6/9/2020,2 Yr,0.2
6/10/2020,2 Yr,0.17
6/11/2020,2 Yr,0.19
6/12/2020,2 Yr,0.19
6/15/2020,2 Yr,0.19
6/16/2020,2 Yr,0.21
6/17/2020,2 Yr,0.19
6/18/2020,2 Yr,0.19
6/19/2020,2 Yr,0.19
6/22/2020,2 Yr,0.19
6/23/2020,2 Yr,0.18
6/24/2020,2 Yr,0.19
6/25/2020,2 Yr,0.17
6/26/2020,2 Yr,0.17
6/29/2020,2 Yr,0.16
6/30/2020,2 Yr,0.16
7/1/2020,2 Yr,0.17
7/2/2020,2 Yr,0.16
7/6/2020,2 Yr,0.16
7/7/2020,2 Yr,0.16
7/8/2020,2 Yr,0.16
7/9/2020,2 Yr,0.16
7/10/2020,2 Yr,0.16
7/13/2020,2 Yr,0.16
7/14/2020,2 Yr,0.14
7/15/2020,2 Yr,0.16
7/16/2020,2 Yr,0.16
7/17/2020,2 Yr,0.14
7/20/2020,2 Yr,0.16
7/21/2020,2 Yr,0.14
7/22/2020,2 Yr,0.14
7/23/2020,2 Yr,0.16
7/24/2020,2 Yr,0.14
7/27/2020,2 Yr,0.15
7/28/2020,2 Yr,0.14
7/29/2020,2 Yr,0.12
7/30/2020,2 Yr,0.11
7/31/2020,2 Yr,0.11
8/3/2020,2 Yr,0.11
8/4/2020,2 Yr,0.11
8/5/2020,2 Yr,0.11
8/6/2020,2 Yr,0.11
8/7/2020,2 Yr,0.13
8/10/2020,2 Yr,0.14
8/11/2020,2 Yr,0.16
8/12/2020,2 Yr,0.16
8/13/2020,2 Yr,0.16
8/14/2020,2 Yr,0.14
8/17/2020,2 Yr,0.14
8/18/2020,2 Yr,0.14
8/19/2020,2 Yr,0.14
8/20/2020,2 Yr,0.13
8/21/2020,2 Yr,0.16
8/24/2020,2 Yr,0.14
8/25/2020,2 Yr,0.15
8/26/2020,2 Yr,0.16
8/27/2020,2 Yr,0.16
8/28/2020,2 Yr,0.14
8/31/2020,2 Yr,0.14
9/1/2020,2 Yr,0.13
9/2/2020,2 Yr,0.14
9/3/2020,2 Yr,0.13
9/4/2020,2 Yr,0.14
9/8/2020,2 Yr,0.14
9/9/2020,2 Yr,0.14
9/10/2020,2 Yr,0.14
9/11/2020,2 Yr,0.13
9/14/2020,2 Yr,0.14
9/15/2020,2 Yr,0.14
9/16/2020,2 Yr,0.14
9/17/2020,2 Yr,0.13
9/18/2020,2 Yr,0.14
9/21/2020,2 Yr,0.14
9/22/2020,2 Yr,0.13
9/23/2020,2 Yr,0.14
9/24/2020,2 Yr,0.14
9/25/2020,2 Yr,0.12
9/28/2020,2 Yr,0.14
9/29/2020,2 Yr,0.11
9/30/2020,2 Yr,0.13
10/1/2020,2 Yr,0.14
10/2/2020,2 Yr,0.13
10/5/2020,2 Yr,0.14
10/6/2020,2 Yr,0.14
10/7/2020,2 Yr,0.16
10/8/2020,2 Yr,0.13
10/9/2020,2 Yr,0.16
10/13/2020,2 Yr,0.16
10/14/2020,2 Yr,0.14
10/15/2020,2 Yr,0.14
10/16/2020,2 Yr,0.14
10/19/2020,2 Yr,0.16
10/20/2020,2 Yr,0.14
10/21/2020,2 Yr,0.14
10/22/2020,2 Yr,0.16
10/23/2020,2 Yr,0.18
10/26/2020,2 Yr,0.16
10/27/2020,2 Yr,0.16
10/28/2020,2 Yr,0.16
10/29/2020,2 Yr,0.16
10/30/2020,2 Yr,0.14
11/2/2020,2 Yr,0.16
11/3/2020,2 Yr,0.17
11/4/2020,2 Yr,0.14
11/5/2020,2 Yr,0.14
11/6/2020,2 Yr,0.16
11/9/2020,2 Yr,0.17
11/10/2020,2 Yr,0.19
11/12/2020,2 Yr,0.17
1/2/2020,3 Yr,1.59
1/3/2020,3 Yr,1.54
1/6/2020,3 Yr,1.56
1/7/2020,3 Yr,1.55
1/8/2020,3 Yr,1.61
1/9/2020,3 Yr,1.59
1/10/2020,3 Yr,1.59
1/13/2020,3 Yr,1.6
1/14/2020,3 Yr,1.59
1/15/2020,3 Yr,1.56
1/16/2020,3 Yr,1.58
1/17/2020,3 Yr,1.56
1/21/2020,3 Yr,1.53
1/22/2020,3 Yr,1.52
1/23/2020,3 Yr,1.51
