Date,maturity,value
2/4/2020,10 Yr,1.61
2/5/2020,10 Yr,1.66
2/6/2020,10 Yr,1.65
2/7/2020,10 Yr,1.59
2/10/2020,10 Yr,1.56
2/11/2020,10 Yr,1.59
2/12/2020,10 Yr,1.62
2/13/2020,10 Yr,1.61
2/14/2020,10 Yr,1.59
2/18/2020,10 Yr,1.55
2/19/2020,10 Yr,1.56
2/20/2020,10 Yr,1.52
2/21/2020,10 Yr,1.46
2/24/2020,10 Yr,1.38
2/25/2020,10 Yr,1.33
2/26/2020,10 Yr,1.33
2/27/2020,10 Yr,1.3
2/28/2020,10 Yr,1.13
3/2/2020,10 Yr,1.1
3/3/2020,10 Yr,1.02
3/4/2020,10 Yr,1.02
3/5/2020,10 Yr,0.92
3/6/2020,10 Yr,0.74
3/9/2020,10 Yr,0.54
3/10/2020,10 Yr,0.76
3/11/2020,10 Yr,0.82
3/12/2020,10 Yr,0.88
3/13/2020,10 Yr,0.94
3/16/2020,10 Yr,0.73
3/17/2020,10 Yr,1.02
3/18/2020,10 Yr,1.18
3/19/2020,10 Yr,1.12
3/20/2020,10 Yr,0.92
3/23/2020,10 Yr,0.76
3/24/2020,10 Yr,0.84
3/25/2020,10 Yr,0.88
3/26/2020,10 Yr,0.83
3/27/2020,10 Yr,0.72
3/30/2020,10 Yr,0.7
3/31/2020,10 Yr,0.7
4/1/2020,10 Yr,0.62
4/2/2020,10 Yr,0.63
4/3/2020,10 Yr,0.62
4/6/2020,10 Yr,0.67
4/7/2020,10 Yr,0.75
4/8/2020,10 Yr,0.77
4/9/2020,10 Yr,0.73
4/13/2020,10 Yr,0.76
4/14/2020,10 Yr,0.76
4/15/2020,10 Yr,0.63
4/16/2020,10 Yr,0.61
4/17/2020,10 Yr,0.65
4/20/2020,10 Yr,0.63
4/21/2020,10 Yr,0.58
4/22/2020,10 Yr,0.63
4/23/2020,10 Yr,0.61
4/24/2020,10 Yr,0.6
4/27/2020,10 Yr,0.67
4/28/2020,10 Yr,0.62
4/29/2020,10 Yr,0.63
4/30/2020,10 Yr,0.64
5/1/2020,10 Yr,0.64
5/4/2020,10 Yr,0.64
5/5/2020,10 Yr,0.66
5/6/2020,10 Yr,0.72
5/7/2020,10 Yr,0.63
5/8/2020,10 Yr,0.69
5/11/2020,10 Yr,0.73
5/12/2020,10 Yr,0.69
5/13/2020,10 Yr,0.64
5/14/2020,10 Yr,0.63
5/15/2020,10 Yr,0.64
5/18/2020,10 Yr,0.73
5/19/2020,10 Yr,0.7
5/20/2020,10 Yr,0.68
5/21/2020,10 Yr,0.68
5/22/2020,10 Yr,0.66
5/26/2020,10 Yr,0.69
5/27/2020,10 Yr,0.68
5/28/2020,10 Yr,0.7
5/29/2020,10 Yr,0.65
6/1/2020,10 Yr,0.66
6/2/2020,10 Yr,0.68
6/3/2020,10 Yr,0.77
6/4/2020,10 Yr,0.82
6/5/2020,10 Yr,0.91
6/8/2020,10 Yr,0.88
6/9/2020,10 Yr,0.84
6/10/2020,10 Yr,0.75
6/11/2020,10 Yr,0.66
6/12/2020,10 Yr,0.71
6/15/2020,10 Yr,0.71
6/16/2020,10 Yr,0.75
6/17/2020,10 Yr,0.74
6/18/2020,10 Yr,0.71
6/19/2020,10 Yr,0.7
6/22/2020,10 Yr,0.71
6/23/2020,10 Yr,0.72
6/24/2020,10 Yr,0.69
6/25/2020,10 Yr,0.68
6/26/2020,10 Yr,0.64
6/29/2020,10 Yr,0.64
6/30/2020,10 Yr,0.66
7/1/2020,10 Yr,0.69
7/2/2020,10 Yr,0.68
7/6/2020,10 Yr,0.69
7/7/2020,10 Yr,0.65
7/8/2020,10 Yr,0.67
7/9/2020,10 Yr,0.62
7/10/2020,10 Yr,0.65
7/13/2020,10 Yr,0.64
7/14/2020,10 Yr,0.63
7/15/2020,10 Yr,0.64
7/16/2020,10 Yr,0.62
7/17/2020,10 Yr,0.64
7/20/2020,10 Yr,0.62
7/21/2020,10 Yr,0.61
7/22/2020,10 Yr,0.6
7/23/2020,10 Yr,0.59
7/24/2020,10 Yr,0.59
7/27/2020,10 Yr,0.62
7/28/2020,10 Yr,0.59
7/29/2020,10 Yr,0.58
7/30/2020,10 Yr,0.55
7/31/2020,10 Yr,0.55
8/3/2020,10 Yr,0.56
8/4/2020,10 Yr,0.52
8/5/2020,10 Yr,0.55
8/6/2020,10 Yr,0.55
8/7/2020,10 Yr,0.57
8/10/2020,10 Yr,0.59
8/11/2020,10 Yr,0.64
8/12/2020,10 Yr,0.69
8/13/2020,10 Yr,0.71
8/14/2020,10 Yr,0.71
8/17/2020,10 Yr,0.69
8/18/2020,10 Yr,0.67
8/19/2020,10 Yr,0.68
8/20/2020,10 Yr,0.65
8/21/2020,10 Yr,0.64
8/24/2020,10 Yr,0.65
8/25/2020,10 Yr,0.69
8/26/2020,10 Yr,0.69
8/27/2020,10 Yr,0.74
8/28/2020,10 Yr,0.74
8/31/2020,10 Yr,0.72
9/1/2020,10 Yr,0.68
9/2/2020,10 Yr,0.66
9/3/2020,10 Yr,0.63
9/4/2020,10 Yr,0.72
9/8/2020,10 Yr,0.69
9/9/2020,10 Yr,0.71
9/10/2020,10 Yr,0.68
9/11/2020,10 Yr,0.67
9/14/2020,10 Yr,0.68
9/15/2020,10 Yr,0.68
9/16/2020,10 Yr,0.69
9/17/2020,10 Yr,0.69
9/18/2020,10 Yr,0.7
9/21/2020,10 Yr,0.68
9/22/2020,10 Yr,0.68
9/23/2020,10 Yr,0.68
9/24/2020,10 Yr,0.67
9/25/2020,10 Yr,0.66
9/28/2020,10 Yr,0.67
9/29/2020,10 Yr,0.66
9/30/2020,10 Yr,0.69
10/1/2020,10 Yr,0.68
10/2/2020,10 Yr,0.7
10/5/2020,10 Yr,0.78
10/6/2020,10 Yr,0.76
10/7/2020,10 Yr,0.81
10/8/2020,10 Yr,0.78
10/9/2020,10 Yr,0.79
10/13/2020,10 Yr,0.74
10/14/2020,10 Yr,0.73
10/15/2020,10 Yr,0.74
10/16/2020,10 Yr,0.76
10/19/2020,10 Yr,0.78
10/20/2020,10 Yr,0.81
10/21/2020,10 Yr,0.83
10/22/2020,10 Yr,0.87
10/23/2020,10 Yr,0.85
10/26/2020,10 Yr,0.81
10/27/2020,10 Yr,0.79
10/28/2020,10 Yr,0.79
10/29/2020,10 Yr,0.85
10/30/2020,10 Yr,0.88
11/2/2020,10 Yr,0.87
11/3/2020,10 Yr,0.9
11/4/2020,10 Yr,0.78
11/5/2020,10 Yr,0.79
11/6/2020,10 Yr,0.83
11/9/2020,10 Yr,0.96
11/10/2020,10 Yr,0.98
11/12/2020,10 Yr,0.88
1/2/2020,20 Yr,2.19
1/3/2020,20 Yr,2.11
1/6/2020,20 Yr,2.13
1/7/2020,20 Yr,2.16
1/8/2020,20 Yr,2.21
1/9/2020,20 Yr,2.17
1/10/2020,20 Yr,2.14
1/13/2020,20 Yr,2.16
1/14/2020,20 Yr,2.12
1/15/2020,20 Yr,2.09
1/16/2020,20 Yr,2.11
1/17/2020,20 Yr,2.16
1/21/2020,20 Yr,2.1
1/22/2020,20 Yr,2.07
1/23/2020,20 Yr,2.03
1/24/2020,20 Yr,2.0
1/27/2020,20 Yr,1.91
1/28/2020,20 Yr,1.95
1/29/2020,20 Yr,1.89
1/30/2020,20 Yr,1.88
1/31/2020,20 Yr,1.83
2/3/2020,20 Yr,1.84
2/4/2020,20 Yr,1.91
2/5/2020,20 Yr,1.97
2/6/2020,20 Yr,1.94
2/7/2020,20 Yr,1.89
2/10/2020,20 Yr,1.87
2/11/2020,20 Yr,1.89
2/12/2020,20 Yr,1.93
2/13/2020,20 Yr,1.91
2/14/2020,20 Yr,1.89
2/18/2020,20 Yr,1.85
2/19/2020,20 Yr,1.86
2/20/2020,20 Yr,1.81
2/21/2020,20 Yr,1.75
2/24/2020,20 Yr,1.68
2/25/2020,20 Yr,1.63
2/26/2020,20 Yr,1.64
2/27/2020,20 Yr,1.61
2/28/2020,20 Yr,1.46
3/2/2020,20 Yr,1.46
3/3/2020,20 Yr,1.44
3/4/2020,20 Yr,1.45
3/5/2020,20 Yr,1.34
3/6/2020,20 Yr,1.09
3/9/2020,20 Yr,0.87
3/10/2020,20 Yr,1.16
3/11/2020,20 Yr,1.13
3/12/2020,20 Yr,1.27
3/13/2020,20 Yr,1.31
3/16/2020,20 Yr,1.1
3/17/2020,20 Yr,1.45
3/18/2020,20 Yr,1.6
3/19/2020,20 Yr,1.56
3/20/2020,20 Yr,1.35
3/23/2020,20 Yr,1.12
3/24/2020,20 Yr,1.19
3/25/2020,20 Yr,1.23
3/26/2020,20 Yr,1.2
3/27/2020,20 Yr,1.09
3/30/2020,20 Yr,1.1
3/31/2020,20 Yr,1.15
4/1/2020,20 Yr,1.04
4/2/2020,20 Yr,1.04
4/3/2020,20 Yr,1.05
4/6/2020,20 Yr,1.08
4/7/2020,20 Yr,1.13
4/8/2020,20 Yr,1.18
4/9/2020,20 Yr,1.15
4/13/2020,20 Yr,1.19
4/14/2020,20 Yr,1.19
4/15/2020,20 Yr,1.06
4/16/2020,20 Yr,1.01
4/17/2020,20 Yr,1.08
4/20/2020,20 Yr,1.04
4/21/2020,20 Yr,0.98
4/22/2020,20 Yr,1.03
4/23/2020,20 Yr,0.99
4/24/2020,20 Yr,0.98
4/27/2020,20 Yr,1.06
4/28/2020,20 Yr,1.0
4/29/2020,20 Yr,1.02
4/30/2020,20 Yr,1.05
5/1/2020,20 Yr,1.04
5/4/2020,20 Yr,1.05
5/5/2020,20 Yr,1.07
5/6/2020,20 Yr,1.16
5/7/2020,20 Yr,1.05
5/8/2020,20 Yr,1.12
5/11/2020,20 Yr,1.16
5/12/2020,20 Yr,1.11
5/13/2020,20 Yr,1.07
5/14/2020,20 Yr,1.03
5/15/2020,20 Yr,1.05
5/18/2020,20 Yr,1.17
5/19/2020,20 Yr,1.15
5/20/2020,20 Yr,1.19
5/21/2020,20 Yr,1.16
5/22/2020,20 Yr,1.12
5/26/2020,20 Yr,1.19
5/27/2020,20 Yr,1.19
5/28/2020,20 Yr,1.23
5/29/2020,20 Yr,1.18
6/1/2020,20 Yr,1.22
6/2/2020,20 Yr,1.24
6/3/2020,20 Yr,1.32
6/4/2020,20 Yr,1.38
6/5/2020,20 Yr,1.46
6/8/2020,20 Yr,1.43
6/9/2020,20 Yr,1.37
6/10/2020,20 Yr,1.31
6/11/2020,20 Yr,1.19
6/12/2020,20 Yr,1.24
6/15/2020,20 Yr,1.24
6/16/2020,20 Yr,1.31
6/17/2020,20 Yr,1.3
6/18/2020,20 Yr,1.24
6/19/2020,20 Yr,1.23
6/22/2020,20 Yr,1.23
6/23/2020,20 Yr,1.25
6/24/2020,20 Yr,1.21
6/25/2020,20 Yr,1.2
6/26/2020,20 Yr,1.15
6/29/2020,20 Yr,1.16
6/30/2020,20 Yr,1.18
7/1/2020,20 Yr,1.2
7/2/2020,20 Yr,1.2
7/6/2020,20 Yr,1.21
7/7/2020,20 Yr,1.15
7/8/2020,20 Yr,1.16
7/9/2020,20 Yr,1.09
7/10/2020,20 Yr,1.12
7/13/2020,20 Yr,1.11
7/14/2020,20 Yr,1.09
7/15/2020,20 Yr,1.11
7/16/2020,20 Yr,1.09
7/17/2020,20 Yr,1.11
7/20/2020,20 Yr,1.1
7/21/2020,20 Yr,1.09
7/22/2020,20 Yr,1.08
7/23/2020,20 Yr,1.03
7/24/2020,20 Yr,1.03
7/27/2020,20 Yr,1.05
7/28/2020,20 Yr,1.01
7/29/2020,20 Yr,1.03
7/30/2020,20 Yr,0.98
7/31/2020,20 Yr,0.98
8/3/2020,20 Yr,1.01
8/4/2020,20 Yr,0.96
8/5/2020,20 Yr,1.0
8/6/2020,20 Yr,0.98
8/7/2020,20 Yr,1.01
8/10/2020,20 Yr,1.04
8/11/2020,20 Yr,1.1
8/12/2020,20 Yr,1.15
8/13/2020,20 Yr,1.2
8/14/2020,20 Yr,1.21
8/17/2020,20 Yr,1.19
8/18/2020,20 Yr,1.16
8/19/2020,20 Yr,1.2
8/20/2020,20 Yr,1.15
8/21/2020,20 Yr,1.13
8/24/2020,20 Yr,1.14
8/25/2020,20 Yr,1.18
8/26/2020,20 Yr,1.2
8/27/2020,20 Yr,1.28
8/28/2020,20 Yr,1.29
8/31/2020,20 Yr,1.26
9/1/2020,20 Yr,1.2
9/2/2020,20 Yr,1.16
9/3/2020,20 Yr,1.13
9/4/2020,20 Yr,1.25
9/8/2020,20 Yr,1.22
9/9/2020,20 Yr,1.25
9/10/2020,20 Yr,1.22
9/11/2020,20 Yr,1.21
9/14/2020,20 Yr,1.21
9/15/2020,20 Yr,1.21
9/16/2020,20 Yr,1.23
9/17/2020,20 Yr,1.22
9/18/2020,20 Yr,1.24
9/21/2020,20 Yr,1.22
9/22/2020,20 Yr,1.21
9/23/2020,20 Yr,1.21
9/24/2020,20 Yr,1.19
9/25/2020,20 Yr,1.19
9/28/2020,20 Yr,1.2
9/29/2020,20 Yr,1.19
9/30/2020,20 Yr,1.23
10/1/2020,20 Yr,1.23
10/2/2020,20 Yr,1.25
10/5/2020,20 Yr,1.34
10/6/2020,20 Yr,1.33
10/7/2020,20 Yr,1.37
10/8/2020,20 Yr,1.34
10/9/2020,20 Yr,1.34
10/13/2020,20 Yr,1.29
10/14/2020,20 Yr,1.28
10/15/2020,20 Yr,1.29
10/16/2020,20 Yr,1.3
10/19/2020,20 Yr,1.32
10/20/2020,20 Yr,1.37
10/21/2020,20 Yr,1.4
10/22/2020,20 Yr,1.43
10/23/2020,20 Yr,1.41
10/26/2020,20 Yr,1.37
10/27/2020,20 Yr,1.34
10/28/2020,20 Yr,1.34
10/29/2020,20 Yr,1.39
10/30/2020,20 Yr,1.43
11/2/2020,20 Yr,1.41
11/3/2020,20 Yr,1.44
11/4/2020,20 Yr,1.33
11/5/2020,20 Yr,1.32
11/6/2020,20 Yr,1.37
11/9/2020,20 Yr,1.51
11/10/2020,20 Yr,1.53
11/12/2020,20 Yr,1.42
1/2/2020,30 Yr,2.33
1/3/2020,30 Yr,2.26
1/6/2020,30 Yr,2.28
1/7/2020,30 Yr,2.31
1/8/2020,30 Yr,2.35
1/9/2020,30 Yr,2.38
1/10/2020,30 Yr,2.28
1/13/2020,30 Yr,2.3
1/14/2020,30 Yr,2.27
1/15/2020,30 Yr,2.23
1/16/2020,30 Yr,2.26
1/17/2020,30 Yr,2.29
1/21/2020,30 Yr,2.23
1/22/2020,30 Yr,2.22
1/23/2020,30 Yr,2.18
1/24/2020,30 Yr,2.14
1/27/2020,30 Yr,2.05
1/28/2020,30 Yr,2.1
1/29/2020,30 Yr,2.05
1/30/2020,30 Yr,2.04
1/31/2020,30 Yr,1.99
2/3/2020,30 Yr,2.01
2/4/2020,30 Yr,2.08
2/5/2020,30 Yr,2.14
2/6/2020,30 Yr,2.11
2/7/2020,30 Yr,2.05
2/10/2020,30 Yr,2.03
2/11/2020,30 Yr,2.05
2/12/2020,30 Yr,2.09
2/13/2020,30 Yr,2.07
2/14/2020,30 Yr,2.04
2/18/2020,30 Yr,2.0
2/19/2020,30 Yr,2.01
2/20/2020,30 Yr,1.97
2/21/2020,30 Yr,1.9
2/24/2020,30 Yr,1.84
2/25/2020,30 Yr,1.8
2/26/2020,30 Yr,1.81
2/27/2020,30 Yr,1.79
2/28/2020,30 Yr,1.65
3/2/2020,30 Yr,1.66
3/3/2020,30 Yr,1.64
3/4/2020,30 Yr,1.67
3/5/2020,30 Yr,1.56
3/6/2020,30 Yr,1.25
3/9/2020,30 Yr,0.99
3/10/2020,30 Yr,1.28
3/11/2020,30 Yr,1.3
3/12/2020,30 Yr,1.49
3/13/2020,30 Yr,1.56
3/16/2020,30 Yr,1.34
3/17/2020,30 Yr,1.63
3/18/2020,30 Yr,1.77
3/19/2020,30 Yr,1.78
3/20/2020,30 Yr,1.55
3/23/2020,30 Yr,1.33
3/24/2020,30 Yr,1.39
3/25/2020,30 Yr,1.45
3/26/2020,30 Yr,1.42
3/27/2020,30 Yr,1.29
3/30/2020,30 Yr,1.31
3/31/2020,30 Yr,1.35
4/1/2020,30 Yr,1.27
4/2/2020,30 Yr,1.26
4/3/2020,30 Yr,1.24
4/6/2020,30 Yr,1.27
4/7/2020,30 Yr,1.32
4/8/2020,30 Yr,1.37
4/9/2020,30 Yr,1.35
4/13/2020,30 Yr,1.39
4/14/2020,30 Yr,1.41
4/15/2020,30 Yr,1.27
4/16/2020,30 Yr,1.21
4/17/2020,30 Yr,1.27
4/20/2020,30 Yr,1.23
4/21/2020,30 Yr,1.17
4/22/2020,30 Yr,1.22
4/23/2020,30 Yr,1.18
4/24/2020,30 Yr,1.17
4/27/2020,30 Yr,1.25
4/28/2020,30 Yr,1.2
4/29/2020,30 Yr,1.24
4/30/2020,30 Yr,1.28
5/1/2020,30 Yr,1.27
5/4/2020,30 Yr,1.29
5/5/2020,30 Yr,1.32
5/6/2020,30 Yr,1.41
5/7/2020,30 Yr,1.31
5/8/2020,30 Yr,1.39
5/11/2020,30 Yr,1.43
5/12/2020,30 Yr,1.38
5/13/2020,30 Yr,1.35
5/14/2020,30 Yr,1.3
5/15/2020,30 Yr,1.32
5/18/2020,30 Yr,1.44
5/19/2020,30 Yr,1.43
5/20/2020,30 Yr,1.4
5/21/2020,30 Yr,1.4
5/22/2020,30 Yr,1.37
5/26/2020,30 Yr,1.43
5/27/2020,30 Yr,1.44
5/28/2020,30 Yr,1.47
5/29/2020,30 Yr,1.41
6/1/2020,30 Yr,1.46
6/2/2020,30 Yr,1.48
6/3/2020,30 Yr,1.56
6/4/2020,30 Yr,1.61
6/5/2020,30 Yr,1.68
6/8/2020,30 Yr,1.65
6/9/2020,30 Yr,1.59
6/10/2020,30 Yr,1.53
6/11/2020,30 Yr,1.41
6/12/2020,30 Yr,1.45
6/15/2020,30 Yr,1.45
6/16/2020,30 Yr,1.54
6/17/2020,30 Yr,1.52
6/18/2020,30 Yr,1.47
6/19/2020,30 Yr,1.47
6/22/2020,30 Yr,1.46
6/23/2020,30 Yr,1.49
6/24/2020,30 Yr,1.44
6/25/2020,30 Yr,1.43
6/26/2020,30 Yr,1.37
6/29/2020,30 Yr,1.39
6/30/2020,30 Yr,1.41
7/1/2020,30 Yr,1.43
7/2/2020,30 Yr,1.43
7/6/2020,30 Yr,1.45
7/7/2020,30 Yr,1.38
7/8/2020,30 Yr,1.39
7/9/2020,30 Yr,1.32
7/10/2020,30 Yr,1.33
7/13/2020,30 Yr,1.33
7/14/2020,30 Yr,1.3
7/15/2020,30 Yr,1.33
7/16/2020,30 Yr,1.31
7/17/2020,30 Yr,1.33
7/20/2020,30 Yr,1.32
7/21/2020,30 Yr,1.31
7/22/2020,30 Yr,1.29
7/23/2020,30 Yr,1.24
7/24/2020,30 Yr,1.23
7/27/2020,30 Yr,1.25
7/28/2020,30 Yr,1.22
7/29/2020,30 Yr,1.24
7/30/2020,30 Yr,1.2
7/31/2020,30 Yr,1.2
8/3/2020,30 Yr,1.23
8/4/2020,30 Yr,1.19
8/5/2020,30 Yr,1.22
8/6/2020,30 Yr,1.2
8/7/2020,30 Yr,1.23
8/10/2020,30 Yr,1.25
8/11/2020,30 Yr,1.32
8/12/2020,30 Yr,1.37
8/13/2020,30 Yr,1.42
8/14/2020,30 Yr,1.45
8/17/2020,30 Yr,1.43
8/18/2020,30 Yr,1.4
8/19/2020,30 Yr,1.42
8/20/2020,30 Yr,1.38
8/21/2020,30 Yr,1.35
8/24/2020,30 Yr,1.35
8/25/2020,30 Yr,1.39
8/26/2020,30 Yr,1.41
8/27/2020,30 Yr,1.5
8/28/2020,30 Yr,1.52
8/31/2020,30 Yr,1.49
9/1/2020,30 Yr,1.43
9/2/2020,30 Yr,1.38
9/3/2020,30 Yr,1.34
9/4/2020,30 Yr,1.46
9/8/2020,30 Yr,1.43
9/9/2020,30 Yr,1.45
9/10/2020,30 Yr,1.43
9/11/2020,30 Yr,1.42
9/14/2020,30 Yr,1.42
9/15/2020,30 Yr,1.43
9/16/2020,30 Yr,1.45
9/17/2020,30 Yr,1.43
9/18/2020,30 Yr,1.45
9/21/2020,30 Yr,1.43
9/22/2020,30 Yr,1.42
9/23/2020,30 Yr,1.42
9/24/2020,30 Yr,1.4
9/25/2020,30 Yr,1.4
9/28/2020,30 Yr,1.42
9/29/2020,30 Yr,1.41
9/30/2020,30 Yr,1.46
10/1/2020,30 Yr,1.45
10/2/2020,30 Yr,1.48
10/5/2020,30 Yr,1.57
10/6/2020,30 Yr,1.56
10/7/2020,30 Yr,1.6
10/8/2020,30 Yr,1.57
10/9/2020,30 Yr,1.58
10/13/2020,30 Yr,1.52
10/14/2020,30 Yr,1.5
10/15/2020,30 Yr,1.52
10/16/2020,30 Yr,1.52
10/19/2020,30 Yr,1.55
10/20/2020,30 Yr,1.6
10/21/2020,30 Yr,1.62
10/22/2020,30 Yr,1.67
10/23/2020,30 Yr,1.64
10/26/2020,30 Yr,1.59
10/27/2020,30 Yr,1.57
10/28/2020,30 Yr,1.56
10/29/2020,30 Yr,1.62
10/30/2020,30 Yr,1.65
11/2/2020,30 Yr,1.63
11/3/2020,30 Yr,1.66
11/4/2020,30 Yr,1.55
11/5/2020,30 Yr,1.54
11/6/2020,30 Yr,1.6
11/9/2020,30 Yr,1.73
11/10/2020,30 Yr,1.75
11/12/2020,30 Yr,1.64
